date,open,high,low,close,volume,change
2018-07-06,358.75,362.45,358.32,361.77,595793.0,0.008418118466898904
2018-07-09,363.22,365.47,362.86,365.39,550489.0,0.005974340620009799
2018-07-10,366.15,366.71,363.82,365.34,577851.0,-0.0022122081114297485
2018-07-11,363.35,364.62,361.74,362.11,876811.0,-0.003412687491399502
2018-07-12,363.86,364.16,361.19,363.21,527130.0,-0.0017864013631617493
2018-07-13,362.87,365.03,362.87,363.08,488864.0,0.0005787196516658295
2018-07-16,363.43,363.83,360.23,361.17,628740.0,-0.00621852901521611
2018-07-17,360.64,363.44,360.58,362.82,699980.0,0.006044809228039061
2018-07-18,362.44,364.19,361.45,364.05,424663.0,0.0044421145568922125
2018-07-19,363.04,366.25,362.32,365.62,602438.0,0.007106654914059013
2018-07-20,364.83,365.22,363.25,363.4,1033729.0,-0.003919633802044807
2018-07-23,363.68,364.15,361.96,363.43,433077.0,-0.0006874175098988121
2018-07-24,364.96,365.09,359.53,360.73,611984.0,-0.011590311266988057
2018-07-25,360.69,361.9,359.0,361.9,746048.0,0.003354681305275942
2018-07-26,361.92,364.61,361.44,363.42,687807.0,0.004144562334217506
2018-07-27,363.68,363.96,358.12,359.4,931432.0,-0.011768587769467745
2018-07-30,359.26,360.71,357.63,357.76,723518.0,-0.0041752491231976845
2018-07-31,358.63,362.18,358.24,361.07,1031622.0,0.006803669520118221
2018-08-01,360.67,361.16,359.02,359.92,914885.0,-0.0020794632212271604
2018-08-02,358.03,363.39,358.03,362.93,800587.0,0.013686003966148184
2018-08-03,362.97,364.67,362.32,363.96,480783.0,0.0027274981403420454
2018-08-06,363.85,366.11,363.46,365.75,510438.0,0.005221932114882443
2018-08-07,366.65,368.25,366.57,366.69,676115.0,0.00010909586799405555
2018-08-08,366.3,366.49,364.41,365.68,532697.0,-0.001692601692601705
2018-08-09,365.74,367.27,365.21,365.37,527276.0,-0.0010116476185268346
2018-08-10,363.02,365.37,362.64,363.3,435103.0,0.0007713073659854266
2018-08-13,363.57,364.59,360.33,361.45,654299.0,-0.005831064169210894
2018-08-14,362.34,365.89,362.34,364.79,667222.0,0.006761605122260986
2018-08-15,363.11,363.32,358.67,361.38,1048148.0,-0.004764396463881518
2018-08-16,362.7,366.15,362.7,364.37,639974.0,0.004604356217259487
2018-08-17,363.8,366.51,363.19,366.22,495424.0,0.0066520065970313794
2018-08-20,366.82,368.23,366.07,367.59,658439.0,0.002099122185267929
2018-08-21,367.99,371.5,367.99,370.54,719155.0,0.00692953612869918
2018-08-22,370.24,371.45,369.92,370.49,425562.0,0.0006752376836646499
2018-08-23,370.28,370.75,368.54,369.2,482280.0,-0.0029167116776493036
2018-08-24,370.1,371.22,369.77,370.57,467101.0,0.0012699270467440432
2018-08-27,371.8,374.1,371.8,372.36,713727.0,0.0015061861215707431
2018-08-28,373.08,373.53,370.84,372.42,724293.0,-0.001769057574782803
2018-08-29,372.52,374.04,371.2,373.52,811333.0,0.0026844196284763235
2018-08-30,372.91,373.29,371.17,371.66,792153.0,-0.003352015231557212
2018-08-31,370.87,372.97,370.67,372.49,492009.0,0.004368107423086269
2018-09-04,371.88,373.23,369.8,371.66,818434.0,-0.0005915886845218093
2018-09-05,371.2,371.92,368.61,371.48,578097.0,0.0007543103448276659
2018-09-06,371.64,372.87,369.44,370.28,1025667.0,-0.0036594553869336286
2018-09-07,369.17,371.4,368.2,369.46,893205.0,0.000785545954438236
2018-09-10,370.89,371.64,369.78,370.28,465107.0,-0.0016446924964275491
2018-09-11,369.49,371.77,368.79,370.9,883129.0,0.0038160708002922083
2018-09-12,370.76,371.65,368.58,371.15,1161911.0,0.0010518934081346057
2018-09-13,372.15,372.89,370.94,371.93,1194027.0,-0.000591159478704744
2018-09-14,371.93,374.1,371.73,373.41,1537001.0,0.00397924340601731
2018-09-17,373.1,373.67,369.6,369.84,1484802.0,-0.008737603859555207
2018-09-18,370.53,372.21,369.3,371.45,916831.0,0.0024829298572315766
2018-09-19,371.27,373.25,369.51,370.26,1191978.0,-0.0027203921674252996
2018-09-20,371.51,373.3,370.91,373.05,850738.0,0.004145245080886169
2018-09-21,372.92,373.4,370.78,370.95,683793.0,-0.005282634345167937
2018-09-24,370.64,371.09,367.72,369.62,972395.0,-0.002751996546514089
2018-09-25,369.93,370.35,368.99,369.28,674972.0,-0.0017570891790339635
2018-09-26,369.27,369.73,365.69,365.88,791592.0,-0.009180274595824158
2018-09-27,366.28,367.82,365.5,366.14,738847.0,-0.0003822212515015463
2018-09-28,364.98,368.46,364.98,367.46,794844.0,0.006794892870842131
2018-10-01,368.93,369.13,363.65,364.52,1085326.0,-0.011953487111376209
2018-10-02,364.56,365.57,362.6,363.14,808409.0,-0.0038951064296686854
2018-10-03,364.64,366.3,363.28,364.55,623312.0,-0.0002468187801666712
2018-10-04,363.48,363.71,359.22,360.57,1054854.0,-0.008005942555298847
2018-10-05,360.61,361.44,355.86,357.87,996738.0,-0.007598236321788106
2018-10-08,356.8,358.68,355.35,357.97,621481.0,0.0032791479820628248
2018-10-09,356.86,358.44,355.77,356.0,815438.0,-0.0024099086476489762
2018-10-10,355.46,355.62,346.35,346.79,1918614.0,-0.024390930062454172
2018-10-11,344.84,347.0,339.34,339.5,3802214.0,-0.015485442524069063
2018-10-12,344.06,344.2,335.77,340.23,2680090.0,-0.011131779340812603
2018-10-15,339.94,344.21,339.58,341.79,1431180.0,0.0054421368476790695
2018-10-16,343.76,349.27,341.49,349.07,1578259.0,0.015446823365138475
2018-10-17,348.45,349.05,344.14,347.98,1583614.0,-0.001348830535227351
2018-10-18,346.79,347.78,341.83,342.97,1607909.0,-0.011015311860203561
2018-10-19,343.79,345.23,339.8,340.8,1171638.0,-0.00869716978387972
2018-10-22,341.34,342.06,338.67,339.0,798700.0,-0.0068553348567410065
2018-10-23,334.6,337.9,329.93,335.57,1641337.0,0.002898983861326869
2018-10-24,335.04,336.29,325.28,325.47,2120147.0,-0.02856375358166187
2018-10-25,327.15,332.08,326.34,330.31,2486276.0,0.009659177747210836
2018-10-26,326.86,330.4,321.76,326.63,1946656.0,-0.0007036651777519984
2018-10-29,330.37,333.46,321.85,325.28,1865553.0,-0.015406967945031425
2018-10-30,325.38,331.39,325.05,331.01,2757850.0,0.017302845903251568
