Date,Neg_Count
2018-01-23,33
2018-01-24,48
2018-01-25,28
2018-01-26,44
2018-01-27,16
2018-01-28,13
2018-01-29,39
2018-01-30,41
2018-01-31,57
2018-02-01,62
2018-02-02,73
2018-02-03,23
2018-02-04,54
2018-02-05,129
2018-02-06,190
2018-02-07,57
2018-02-08,153
2018-02-09,100
2018-02-10,35
2018-02-11,37
2018-02-12,31
2018-02-13,48
2018-02-14,36
2018-02-15,53
2018-02-16,41
2018-02-17,18
2018-02-18,27
2018-02-19,6
2018-02-20,24
2018-02-21,18
2018-02-22,33
2018-02-23,55
2018-02-24,13
2018-02-25,14
2018-02-26,36
2018-02-27,66
2018-02-28,26
2018-03-01,49
2018-03-02,95
2018-03-03,14
2018-03-04,49
2018-03-05,59
2018-03-06,45
2018-03-07,47
2018-03-08,45
2018-03-09,82
2018-03-10,22
2018-03-11,25
2018-03-12,67
2018-03-13,29
2018-03-14,48
2018-03-15,58
2018-03-16,62
2018-03-17,12
2018-03-18,10
2018-03-19,22
2018-03-20,50
2018-03-21,82
2018-03-22,88
2018-03-23,86
2018-03-24,84
2018-03-25,9
2018-03-26,34
2018-03-27,68
2018-03-28,51
2018-03-29,87
2018-03-30,8
2018-03-31,9
2018-04-01,27
2018-04-02,78
2018-04-03,79
2018-04-04,69
2018-04-05,86
2018-04-06,93
2018-04-07,75
2018-04-08,1
2018-04-09,64
2018-04-10,86
2018-04-11,69
2018-04-12,125
2018-04-13,53
2018-04-14,36
2018-04-15,6
2018-04-16,62
2018-04-17,40
2018-04-18,57
2018-04-19,33
2018-04-20,67
2018-04-21,27
2018-04-22,49
2018-04-23,34
2018-04-24,60
2018-04-25,59
2018-04-26,43
2018-04-27,77
2018-04-28,27
2018-04-29,65
2018-04-30,54
2018-05-01,57
2018-05-02,99
2018-05-03,99
2018-05-04,111
2018-05-05,26
2018-05-06,6
2018-05-07,67
2018-05-08,65
2018-05-09,69
2018-05-10,71
2018-05-11,44
2018-05-12,47
2018-05-13,56
2018-05-14,37
2018-05-15,69
2018-05-16,67
2018-05-17,33
2018-05-18,70
2018-05-19,24
2018-05-20,28
2018-05-21,55
2018-05-22,74
2018-05-23,70
2018-05-24,142
2018-05-25,60
2018-05-26,26
2018-05-27,23
2018-05-28,10
2018-05-29,56
2018-05-30,94
2018-05-31,97
2018-06-01,85
2018-06-02,32
2018-06-03,33
2018-06-04,66
2018-06-05,45
2018-06-06,84
2018-06-07,67
2018-06-08,84
2018-06-09,38
2018-06-10,46
2018-06-11,78
2018-06-12,65
2018-06-13,107
2018-06-14,114
2018-06-15,108
2018-06-16,18
2018-06-17,46
2018-06-18,83
2018-06-19,136
2018-06-20,117
2018-06-21,109
2018-06-22,120
2018-06-23,21
2018-06-24,97
2018-06-25,125
2018-06-26,82
2018-06-27,93
