Date,Count
2017-12-19,13
2017-12-20,17
2017-12-21,34
2017-12-22,24
2017-12-23,10
2017-12-24,9
2017-12-25,8
2017-12-26,14
2017-12-27,12
2017-12-28,25
2017-12-29,19
2017-12-30,11
2017-12-31,4
2018-01-01,7
2018-01-02,31
2018-01-03,35
2018-01-04,21
2018-01-05,30
2018-01-06,25
2018-01-07,4
2018-01-08,18
2018-01-09,27
2018-01-10,18
2018-01-11,28
2018-01-12,34
2018-01-13,15
2018-01-14,11
2018-01-15,12
2018-01-16,13
2018-01-17,16
2018-01-18,13
2018-01-19,13
2018-01-20,2
2018-01-21,4
2018-01-22,25
2018-01-23,39
2018-01-24,31
2018-01-25,17
2018-01-26,25
2018-01-27,20
2018-01-28,13
2018-01-29,39
2018-01-30,36
2018-01-31,50
2018-02-01,47
2018-02-02,33
2018-02-03,23
2018-02-04,29
2018-02-05,68
2018-02-06,113
2018-02-07,30
2018-02-08,53
2018-02-09,70
2018-02-10,20
2018-02-11,23
2018-02-12,22
2018-02-13,25
2018-02-14,35
2018-02-15,46
2018-02-16,31
2018-02-17,11
2018-02-18,11
2018-02-19,7
2018-02-20,13
2018-02-21,18
2018-02-22,38
2018-02-23,26
2018-02-24,15
2018-02-25,13
2018-02-26,27
2018-02-27,38
2018-02-28,20
2018-03-01,27
2018-03-02,52
2018-03-03,7
2018-03-04,23
2018-03-05,51
2018-03-06,29
2018-03-07,32
2018-03-08,28
2018-03-09,44
2018-03-10,25
2018-03-11,11
2018-03-12,35
2018-03-13,19
2018-03-14,18
2018-03-15,28
2018-03-16,34
2018-03-17,5
2018-03-18,6
2018-03-19,10
2018-03-20,20
2018-03-21,73
2018-03-22,47
2018-03-23,44
2018-03-24,73
2018-03-25,7
2018-03-26,17
2018-03-27,39
2018-03-28,39
2018-03-29,53
2018-03-30,9
2018-03-31,6
2018-04-01,23
2018-04-02,36
2018-04-03,67
2018-04-04,35
2018-04-05,69
2018-04-06,60
2018-04-07,45
2018-04-09,34
2018-04-10,43
2018-04-11,45
2018-04-12,62
2018-04-13,36
2018-04-14,16
2018-04-15,14
2018-04-16,22
2018-04-17,22
2018-04-18,38
2018-04-19,24
2018-04-20,32
2018-04-21,6
2018-04-22,30
2018-04-23,26
2018-04-24,36
2018-04-25,40
2018-04-26,34
2018-04-27,37
2018-04-28,14
2018-04-29,35
2018-04-30,35
2018-05-01,38
2018-05-02,59
2018-05-03,61
2018-05-04,69
2018-05-05,26
2018-05-06,10
2018-05-07,45
2018-05-08,71
2018-05-09,39
2018-05-10,58
2018-05-11,46
2018-05-12,33
2018-05-13,43
2018-05-14,38
2018-05-15,38
2018-05-16,60
2018-05-17,27
2018-05-18,40
2018-05-19,32
2018-05-20,16
2018-05-21,36
2018-05-22,49
2018-05-23,56
2018-05-24,63
2018-05-25,72
2018-05-26,12
2018-05-27,24
2018-05-28,11
2018-05-29,53
2018-05-30,57
2018-05-31,47
2018-06-01,42
2018-06-02,17
2018-06-03,12
2018-06-04,47
2018-06-05,26
2018-06-06,56
2018-06-07,52
2018-06-08,36
2018-06-09,30
2018-06-10,51
2018-06-11,36
2018-06-12,52
2018-06-13,55
2018-06-14,81
2018-06-15,83
2018-06-16,10
2018-06-17,32
2018-06-18,50
2018-06-19,96
2018-06-20,97
2018-06-21,68
2018-06-22,57
2018-06-23,30
2018-06-24,55
2018-06-25,61
2018-06-26,63
2018-06-27,52
2018-06-28,92
2018-06-29,34
2018-06-30,23
2018-07-01,70
2018-07-02,61
2018-07-03,32
2018-07-04,26
2018-07-05,53
2018-07-06,30
2018-07-07,18
2018-07-08,14
2018-07-09,47
2018-07-10,94
2018-07-11,57
2018-07-12,38
2018-07-13,69
2018-07-14,18
2018-07-15,33
2018-07-16,33
2018-07-17,66
2018-07-18,37
2018-07-19,61
2018-07-20,69
2018-07-21,45
2018-07-22,72
2018-07-23,52
2018-07-24,53
2018-07-25,82
2018-07-26,113
2018-07-27,70
2018-07-28,25
2018-07-29,33
2018-07-30,88
2018-07-31,59
2018-08-01,50
2018-08-02,79
2018-08-03,55
2018-08-04,46
2018-08-05,17
2018-08-06,46
2018-08-07,123
2018-08-08,131
2018-08-09,63
2018-08-10,95
2018-08-11,42
2018-08-13,42
2018-08-14,72
2018-08-15,129
2018-08-16,77
2018-08-17,86
2018-08-18,34
2018-08-19,27
2018-08-20,79
2018-08-21,27
2018-08-22,62
2018-08-23,56
2018-08-24,60
2018-08-25,34
2018-08-26,59
2018-08-27,62
2018-08-28,55
2018-08-29,42
2018-08-30,88
2018-08-31,38
2018-09-01,21
2018-09-02,15
2018-09-03,41
2018-09-04,51
2018-09-05,65
2018-09-06,89
2018-09-07,75
2018-09-08,6
2018-09-09,51
2018-09-10,63
2018-09-11,61
2018-09-12,139
2018-09-13,104
2018-09-14,39
2018-09-15,70
2018-09-16,16
2018-09-17,63
2018-09-18,95
2018-09-19,79
2018-09-20,126
2018-09-21,120
2018-09-22,52
2018-09-23,16
2018-09-24,74
2018-09-25,61
2018-09-26,59
2018-09-27,135
2018-09-28,104
2018-09-29,52
2018-09-30,45
2018-10-01,65
2018-10-02,81
2018-10-03,101
2018-10-04,65
2018-10-05,86
2018-10-06,22
2018-10-07,19
2018-10-08,61
2018-10-09,64
2018-10-10,83
2018-10-11,181
2018-10-12,43
2018-10-13,40
2018-10-14,43
2018-10-15,100
2018-10-16,77
2018-10-17,99
2018-10-18,78
2018-10-19,62
2018-10-20,46
2018-10-21,49
2018-10-22,58
2018-10-23,77
2018-10-24,218
2018-10-25,74
2018-10-26,56
2018-10-27,46
2018-10-28,26
2018-10-29,54
2018-10-30,70
2018-10-31,54
2018-11-01,20
2018-11-02,41
2018-11-03,44
2018-11-04,17
2018-11-05,36
2018-11-06,18
2018-11-07,41
2018-11-08,53
2018-11-09,78
2018-11-10,26
2018-11-11,29
2018-11-12,40
2018-11-13,55
2018-11-14,42
2018-11-15,46
