Date,Neg_Count
2019-10-10,12
2019-10-09,28
2019-10-08,18
2019-10-07,14
2019-10-06,15
2019-10-05,19
2019-10-04,15
2019-10-03,13
2019-10-02,9
2019-10-01,12
2019-09-30,13
2019-09-29,29
2019-09-28,4
2019-09-27,12
2019-09-26,18
2019-09-25,21
2019-09-24,5
2019-09-23,8
2019-09-22,12
2019-09-21,10
2019-09-20,3
2019-09-19,2
2019-09-18,18
2019-09-17,7
2019-09-16,16
2019-09-15,6
2019-09-14,6
2019-09-13,10
2019-09-12,9
2019-09-11,10
2019-09-10,13
2019-09-09,21
2019-09-08,1
2019-09-07,8
2019-09-06,13
2019-09-05,7
2019-09-04,10
2019-09-03,11
2019-09-02,13
2019-09-01,15
2019-08-31,18
2019-08-30,22
2019-08-29,13
2019-08-28,11
2019-08-27,12
2019-08-25,11
2019-08-24,9
2019-08-23,18
2019-08-22,7
2019-08-21,16
2019-08-20,9
2019-08-19,14
2019-08-18,10
2019-08-17,5
2019-08-16,3
2019-08-15,14
2019-08-14,14
2019-08-13,7
2019-08-12,6
2019-08-11,4
2019-08-10,11
2019-08-09,6
2019-08-08,14
2019-08-07,25
2019-08-06,13
2019-08-05,16
2019-08-04,4
2019-08-03,4
2019-08-02,8
2019-08-01,4
2019-07-31,18
2019-07-30,21
2019-07-29,15
2019-07-28,22
2019-07-27,9
2019-07-26,10
2019-07-25,10
2019-07-24,21
2019-07-23,12
2019-07-22,24
2019-07-21,8
2019-07-20,14
2019-07-19,7
2019-07-18,15
2019-07-17,4
2019-07-16,7
2019-07-15,15
2019-07-14,5
2019-07-13,19
2019-07-12,25
2019-07-11,12
2019-07-10,6
2019-07-09,7
2019-07-08,5
2019-07-07,10
2019-07-06,14
2019-07-05,9
2019-07-04,7
2019-07-03,11
2019-07-02,8
2019-07-01,12
2019-06-30,3
2019-06-28,1
2019-06-27,7
2019-06-26,22
2019-06-25,1
2019-06-24,6
2019-06-22,7
2019-06-21,12
2019-06-20,3
2019-06-19,8
2019-06-18,11
2019-06-17,2
2019-06-16,19
2019-06-15,14
2019-06-14,3
2019-06-13,11
2019-06-12,2
2019-06-11,12
2019-06-10,2
2019-06-09,16
2019-06-08,5
2019-06-07,9
2019-06-06,5
2019-06-05,15
2019-06-04,1
2019-06-03,10
2019-06-02,3
2019-06-01,5
2019-05-31,7
2019-05-30,18
2019-05-29,3
2019-05-28,4
2019-05-27,4
2019-05-26,4
2019-05-25,10
2019-05-24,14
2019-05-23,12
2019-05-22,20
2019-05-21,7
2019-05-20,8
2019-05-19,15
2019-05-18,5
2019-05-17,14
2019-05-16,3
2019-05-15,2
2019-05-14,4
2019-05-13,19
2019-05-12,13
2019-05-11,42
2019-05-10,19
2019-05-09,3
2019-05-08,18
2019-05-07,1
2019-05-06,4
2019-05-05,11
2019-05-04,9
2019-05-03,12
2019-05-02,8
2019-05-01,2
2019-04-30,9
2019-04-29,12
2019-04-28,4
2019-04-27,3
2019-04-26,4
2019-04-25,17
2019-04-24,4
2019-04-23,10
2019-04-22,25
2019-04-21,10
2019-04-20,5
2019-04-19,7
2019-04-18,7
2019-04-17,9
2019-04-16,2
2019-04-15,8
2019-04-14,5
2019-04-13,9
2019-04-12,5
2019-04-11,2
2019-04-10,7
2019-04-09,11
2019-04-08,4
2019-04-07,4
2019-04-06,14
2019-04-05,5
2019-04-04,8
2019-04-03,2
2019-04-02,13
2019-04-01,5
2019-03-31,6
2019-03-30,7
2019-03-29,6
2019-03-28,14
2019-03-27,8
2019-03-26,4
2019-03-25,3
2019-03-22,4
2019-03-21,3
2019-03-20,3
2019-03-19,1
2019-03-18,4
2019-03-17,13
2019-03-16,10
2019-03-15,8
2019-03-14,8
2019-03-13,19
2019-03-12,3
2019-03-11,14
2019-03-10,7
2019-03-09,6
2019-03-08,20
2019-03-07,4
2019-03-06,8
2019-03-05,11
2019-03-04,9
2019-03-03,8
2019-03-02,5
2019-03-01,12
2019-02-27,6
2019-02-26,1
2019-02-25,9
2019-02-24,7
2019-02-23,1
2019-02-22,4
2019-02-21,2
2019-02-20,9
2019-02-19,19
2019-02-18,5
2019-02-17,10
2019-02-15,2
2019-02-14,8
2019-02-13,2
2019-02-11,2
2019-02-10,6
2019-02-09,3
2019-02-08,6
2019-02-07,1
2019-02-05,3
2019-02-03,2
2019-02-01,3
2019-01-31,14
2019-01-30,8
2019-01-29,4
2019-01-28,4
2019-01-27,7
2019-01-26,9
2019-01-25,4
2019-01-24,3
2019-01-23,2
2019-01-22,7
2019-01-21,5
2019-01-20,11
2019-01-19,17
2019-01-18,7
2019-01-17,3
2019-01-16,1
2019-01-15,8
2019-01-14,13
2019-01-13,12
2019-01-12,17
2019-01-11,10
2019-01-10,12
2019-01-09,2
2019-01-08,5
2019-01-07,7
2019-01-06,18
2019-01-05,7
2019-01-04,3
2019-01-01,8
2018-12-31,8
2018-12-30,5
2018-12-29,6
2018-12-28,3
2018-12-27,8
2018-12-24,7
2018-12-23,8
2018-12-22,4
2018-12-21,6
2018-12-20,3
2018-12-19,12
2018-12-18,10
2018-12-17,3
2018-12-16,16
2018-12-15,4
2018-12-14,4
2018-12-13,12
2018-12-12,1
2018-12-11,6
2018-12-10,1
2018-12-09,2
2018-12-08,5
2018-12-07,19
2018-12-06,1
2018-12-05,4
2018-12-04,6
2018-12-03,6
2018-12-01,1
2018-11-30,4
2018-11-29,7
2018-11-28,8
2018-11-27,8
2018-11-26,5
2018-11-25,6
2018-11-24,3
2018-11-22,2
2018-11-21,5
2018-11-20,1
2018-11-19,2
2018-11-18,4
2018-11-17,3
2018-11-15,11
2018-11-14,2
2018-11-13,11
2018-11-12,6
2018-11-11,1
2018-11-10,6
2018-11-09,12
2018-11-08,1
2018-11-07,5
2018-11-06,4
2018-11-05,9
2018-11-04,6
2018-11-03,7
2018-11-01,6
2018-10-31,7
2018-10-30,5
2018-10-29,5
2018-10-28,1
2018-10-27,4
2018-10-26,9
2018-10-25,8
2018-10-24,2
2018-10-23,4
2018-10-22,10
2018-10-21,3
2018-10-20,9
2018-10-19,1
2018-10-18,12
2018-10-17,5
2018-10-16,13
2018-10-15,5
2018-10-14,1
2018-10-13,1
2018-10-12,1
2018-10-11,1
2018-10-10,6
2018-10-09,6
2018-10-08,4
2018-10-06,2
2018-10-05,3
2018-10-04,5
2018-10-03,4
2018-10-02,1
2018-10-01,2
2018-09-30,4
2018-09-29,2
2018-09-27,2
2018-09-26,5
2018-09-25,3
2018-09-22,2
2018-09-21,8
2018-09-20,5
2018-09-19,4
2018-09-18,7
2018-09-17,9
2018-09-16,4
2018-09-15,4
2018-09-14,13
2018-09-13,11
2018-09-12,10
2018-09-11,2
2018-09-10,9
2018-09-09,8
2018-09-08,5
2018-09-07,5
2018-09-06,1
2018-09-05,5
2018-09-04,6
2018-09-03,10
2018-09-02,7
2018-09-01,12
2018-08-31,4
2018-08-30,14
2018-08-29,16
2018-08-28,5
2018-08-27,1
2018-08-26,5
2018-08-25,6
2018-08-24,7
2018-08-23,7
2018-08-22,5
2018-08-21,9
2018-08-20,11
2018-08-19,10
2018-08-18,13
2018-08-17,12
2018-08-16,12
2018-08-15,15
2018-08-14,20
2018-08-13,16
2018-08-12,3
2018-08-11,10
2018-08-10,8
2018-08-09,8
2018-08-08,2
2018-08-07,1
2018-08-06,11
2018-08-05,10
2018-08-04,10
2018-08-03,5
2018-08-02,6
2018-08-01,6
2018-07-31,7
2018-07-30,3
2018-07-29,12
2018-07-27,5
2018-07-26,4
2018-07-25,11
2018-07-24,6
2018-07-23,19
2018-07-22,11
2018-07-21,6
2018-07-20,13
2018-07-19,9
2018-07-18,6
2018-07-17,2
2018-07-16,5
2018-07-15,5
2018-07-14,5
2018-07-12,8
2018-07-11,10
2018-07-10,8
2018-07-09,6
2018-07-08,2
2018-07-07,9
2018-07-06,2
2018-07-05,5
2018-07-04,1
2018-07-03,15
2018-06-30,7
2018-06-29,4
2018-06-28,10
2018-06-27,2
2018-06-26,8
2018-06-25,18
2018-06-24,4
2018-06-23,9
2018-06-22,12
2018-06-21,7
2018-06-20,9
2018-06-19,9
2018-06-18,14
2018-06-17,9
2018-06-16,12
2018-06-15,12
2018-06-14,4
2018-06-13,7
2018-06-12,4
2018-06-11,10
2018-06-09,3
2018-06-08,9
2018-06-07,15
2018-06-06,11
2018-06-05,6
2018-06-04,8
2018-06-03,3
2018-06-02,12
2018-06-01,4
2018-05-31,8
2018-05-30,5
2018-05-29,8
2018-05-28,9
2018-05-27,5
2018-05-26,7
2018-05-25,14
2018-05-24,15
2018-05-23,9
2018-05-21,6
2018-05-20,4
2018-05-19,1
2018-05-18,13
2018-05-17,8
2018-05-16,6
2018-05-15,1
2018-05-14,2
2018-05-12,1
2018-05-11,4
2018-05-10,3
2018-05-09,3
2018-05-08,3
2018-05-07,5
2018-05-04,11
2018-05-03,6
2018-05-02,3
2018-05-01,7
2018-04-30,11
2018-04-28,7
2018-04-27,4
2018-04-26,1
2018-04-25,2
2018-04-24,1
2018-04-23,4
2018-04-22,2
2018-04-21,14
2018-04-20,9
2018-04-19,13
2018-04-18,11
2018-04-17,17
2018-04-16,1
2018-04-15,5
2018-04-13,6
2018-04-12,2
2018-04-11,7
2018-04-10,1
2018-04-09,1
2018-04-08,11
2018-04-07,8
2018-04-06,4
2018-04-05,2
2018-04-04,3
2018-04-03,6
2018-04-02,8
2018-04-01,1
2018-03-31,6
2018-03-29,5
2018-03-28,5
2018-03-27,2
2018-03-25,4
2018-03-24,3
2018-03-23,5
2018-03-22,8
2018-03-21,12
2018-03-19,2
2018-03-18,6
2018-03-17,5
2018-03-16,2
2018-03-15,4
2018-03-14,6
2018-03-13,6
2018-03-12,4
2018-03-11,4
2018-03-10,9
2018-03-07,2
2018-03-06,3
2018-03-05,8
2018-03-03,2
2018-03-02,7
2018-03-01,5
2018-02-28,6
2018-02-27,6
2018-02-25,4
2018-02-24,8
2018-02-23,3
2018-02-22,5
2018-02-21,7
2018-02-20,5
2018-02-19,4
2018-02-18,6
2018-02-17,8
2018-02-16,1
2018-02-15,6
2018-02-14,5
2018-02-12,1
2018-02-11,2
2018-02-10,9
2018-02-09,3
2018-02-07,1
2018-02-06,10
2018-02-05,6
2018-02-04,5
2018-02-03,2
2018-02-02,2
2018-01-26,3
2018-01-25,2
2018-01-24,1
2018-01-22,3
2018-01-21,5
2018-01-20,6
2018-01-19,7
2018-01-18,6
2018-01-16,8
2018-01-15,2
2018-01-14,3
2018-01-13,3
2018-01-12,12
2018-01-11,6
2018-01-10,5
2018-01-08,10
2018-01-07,4
2018-01-06,10
2018-01-05,4
2018-01-04,11
2018-01-03,2
2018-01-02,10
2018-01-01,1
2017-12-31,8
2017-12-30,7
2017-12-29,4
2017-12-28,2
2017-12-26,3
2017-12-25,3
2017-12-24,4
2017-12-23,4
2017-12-22,4
2017-12-21,1
2017-12-20,1
2017-12-18,5
2017-12-15,1
2017-12-14,3
2017-12-13,2
2017-12-12,9
2017-12-11,1
2017-12-10,8
2017-12-09,6
2017-12-08,18
2017-12-06,1
2017-12-04,5
2017-12-03,17
2017-12-02,2
2017-12-01,9
2017-11-30,9
2017-11-29,18
2017-11-28,3
2017-11-27,2
2017-11-26,1
2017-11-25,5
2017-11-24,7
2017-11-23,2
2017-11-22,2
2017-11-20,6
2017-11-19,1
2017-11-18,1
2017-11-17,5
2017-11-15,5
2017-11-14,2
2017-11-13,3
2017-11-12,3
2017-11-11,1
2017-11-09,2
2017-11-08,5
2017-11-07,6
2017-11-06,2
2017-11-04,2
2017-11-03,7
2017-11-02,3
2017-11-01,3
2017-10-31,3
2017-10-29,3
2017-10-28,3
2017-10-27,4
2017-10-26,4
2017-10-25,3
2017-10-24,6
2017-10-23,1
2017-10-22,3
2017-10-21,5
2017-10-20,4
2017-10-19,2
2017-10-18,7
2017-10-17,2
2017-10-16,4
2017-10-15,1
2017-10-14,5
2017-10-13,9
2017-10-12,6
2017-10-11,6
2017-10-10,2
2017-10-09,1
2017-10-08,3
2017-10-07,3
2017-10-06,1
2017-10-05,5
2017-10-04,2
2017-10-02,1
2017-10-01,4
2017-09-30,6
2017-09-29,2
2017-09-28,1
2017-09-26,7
2017-09-25,2
2017-09-24,3
2017-09-23,2
2017-09-22,3
2017-09-20,8
2017-09-19,3
2017-09-18,1
2017-09-15,6
2017-09-14,4
2017-09-12,2
2017-09-10,1
2017-09-09,2
2017-09-08,1
2017-09-07,6
2017-09-06,1
2017-09-03,5
2017-09-01,2
2017-08-30,2
2017-08-28,3
2017-08-27,4
2017-08-26,5
2017-08-24,8
2017-08-23,5
2017-08-22,1
2017-08-21,1
2017-08-20,2
2017-08-19,5
2017-08-18,2
2017-08-17,7
2017-08-16,5
2017-08-15,2
2017-08-14,3
2017-08-13,1
2017-08-12,2
2017-08-11,3
2017-08-10,3
2017-08-09,5
2017-08-08,4
2017-08-07,12
2017-08-05,2
2017-08-04,5
2017-08-03,3
2017-07-31,4
2017-07-29,7
2017-07-28,1
2017-07-27,3
2017-07-26,4
2017-07-25,9
2017-07-24,6
2017-07-23,2
2017-07-22,5
2017-07-18,3
2017-07-16,6
2017-07-14,5
2017-07-12,5
2017-07-11,5
2017-07-10,6
2017-07-09,4
2017-07-07,1
2017-07-05,1
2017-07-04,1
2017-07-03,2
2017-07-02,3
2017-07-01,5
2017-06-30,2
2017-06-29,4
2017-06-28,5
2017-06-27,7
2017-06-26,4
2017-06-25,1
2017-06-24,3
2017-06-22,7
2017-06-20,5
2017-06-19,2
2017-06-18,1
2017-06-16,3
2017-06-15,5
2017-06-14,1
2017-06-13,6
2017-06-12,3
2017-06-11,2
2017-06-09,3
2017-06-07,3
2017-06-06,2
2017-06-05,2
2017-06-04,3
2017-06-03,1
2017-06-02,4
2017-06-01,1
2017-05-31,4
2017-05-30,3
2017-05-29,3
2017-05-28,2
2017-05-27,1
2017-05-26,3
2017-05-18,2
2017-05-16,1
2017-05-12,3
2017-05-11,1
2017-05-10,7
2017-05-08,4
2017-05-07,4
2017-05-05,2
2017-05-04,5
2017-05-03,2
2017-04-30,2
2017-04-29,1
2017-04-28,1
2017-04-27,10
2017-04-26,7
2017-04-24,2
2017-04-23,2
2017-04-22,1
2017-04-21,1
2017-04-20,2
2017-04-19,2
2017-04-18,11
2017-04-17,4
2017-04-16,1
2017-04-13,2
2017-04-12,1
2017-04-11,1
2017-04-03,1
2017-04-01,1
2017-03-31,1
2017-03-30,4
2017-03-29,2
2017-03-28,3
2017-03-24,2
2017-03-20,1
2017-03-17,1
2017-03-15,3
2017-03-13,2
2017-03-10,1
2017-03-08,1
2017-03-07,1
2017-03-04,5
2017-03-03,8
2017-02-26,5
2017-02-25,4
2017-02-24,2
2017-02-21,1
2017-02-20,1
2017-02-17,1
2017-02-16,4
2017-02-15,8
2017-02-14,1
2017-02-12,4
2017-02-11,2
2017-02-10,2
2017-02-09,6
2017-02-08,5
2017-02-07,4
2017-02-06,3
2017-02-04,8
2017-02-03,4
2017-02-02,4
2017-02-01,3
2017-01-31,1
2017-01-30,5
2017-01-29,5
2017-01-28,5
2017-01-27,3
2017-01-26,5
2017-01-25,2
2017-01-22,4
2017-01-21,1
2017-01-19,1
2017-01-17,2
2017-01-16,1
2017-01-15,6
2017-01-14,4
2017-01-13,7
2017-01-12,3
2017-01-09,2
2017-01-08,2
2017-01-07,9
2017-01-06,4
2017-01-05,5
2017-01-04,6
2017-01-03,3
2017-01-02,4
2016-12-31,1
2016-12-30,1
2016-12-28,1
2016-12-26,1
2016-12-24,2
2016-12-23,1
2016-12-22,2
2016-12-21,2
2016-12-20,1
2016-12-19,2
2016-12-18,2
2016-12-16,3
2016-12-15,2
2016-12-12,2
2016-12-10,1
2016-12-08,1
2016-12-05,1
2016-12-04,4
2016-12-03,1
2016-12-01,1
2016-11-30,2
2016-11-29,6
2016-11-28,3
2016-11-27,8
2016-11-24,1
2016-11-22,6
2016-11-19,2
2016-11-16,5
2016-11-15,1
2016-11-13,5
2016-11-11,1
2016-11-08,2
2016-11-07,3
2016-11-04,5
2016-11-03,2
2016-11-02,4
2016-11-01,3
2016-10-30,5
2016-10-29,1
2016-10-28,1
2016-10-26,1
2016-10-25,2
2016-10-24,1
2016-10-22,2
2016-10-21,1
2016-10-20,22
2016-10-19,2
2016-10-18,2
2016-10-17,11
2016-10-16,8
2016-10-15,6
2016-10-13,2
2016-10-12,1
2016-10-11,10
2016-10-10,14
2016-10-09,2
2016-10-08,2
2016-10-05,15
2016-10-04,1
2016-10-01,4
2016-09-30,6
2016-09-29,1
2016-09-27,6
2016-09-24,3
2016-09-23,2
2016-09-21,2
2016-09-20,1
2016-09-19,3
2016-09-18,1
2016-09-17,6
2016-09-15,2
2016-09-11,3
2016-09-10,1
2016-09-09,5
2016-09-08,4
2016-09-07,2
2016-09-05,3
2016-09-04,8
2016-09-03,1
2016-09-02,2
2016-08-31,1
2016-08-30,1
2016-08-29,7
2016-08-28,1
2016-08-27,1
2016-08-26,7
2016-08-25,2
2016-08-24,1
2016-08-23,4
2016-08-22,4
2016-08-21,1
2016-08-19,3
2016-08-17,1
2016-08-16,2
2016-08-15,1
2016-08-14,9
2016-08-13,2
2016-08-12,5
2016-08-11,2
2016-08-10,8
2016-08-09,2
2016-08-08,2
2016-08-07,6
2016-08-06,4
2016-08-05,15
2016-08-03,1
2016-08-02,4
2016-08-01,13
2016-07-31,2
2016-07-30,12
2016-07-29,14
2016-07-28,8
2016-07-27,5
2016-07-26,8
2016-07-25,6
2016-07-24,7
2016-07-23,6
2016-07-21,4
2016-07-18,1
2016-07-17,8
2016-07-16,3
2016-07-15,3
2016-07-14,1
2016-07-13,9
2016-07-12,4
2016-07-10,2
2016-07-08,4
2016-07-06,10
2016-07-05,2
2016-07-04,3
2016-07-03,4
2016-07-02,9
2016-07-01,2
2016-06-30,6
2016-06-29,3
2016-06-28,3
2016-06-27,3
2016-06-26,9
2016-06-25,1
2016-06-24,5
2016-06-23,6
2016-06-22,3
2016-06-21,9
2016-06-20,1
2016-06-19,2
2016-06-17,1
2016-06-16,1
2016-06-15,2
2016-06-14,1
2016-06-13,4
2016-06-12,8
2016-06-11,3
2016-06-10,3
2016-06-09,3
2016-06-08,2
2016-06-06,8
2016-06-05,7
2016-06-04,4
2016-06-03,3
2016-06-02,12
2016-06-01,3
2016-05-31,2
2016-05-30,1
2016-05-29,2
2016-05-28,6
2016-05-26,1
2016-05-25,5
2016-05-24,8
2016-05-23,1
2016-05-22,2
2016-05-21,7
2016-05-20,3
2016-05-19,2
2016-05-18,13
2016-05-17,8
2016-05-16,14
2016-05-15,6
2016-05-14,2
2016-05-11,9
2016-05-10,3
2016-05-09,8
2016-05-07,3
2016-05-06,4
2016-05-04,4
2016-05-03,3
2016-05-02,3
2016-05-01,1
2016-04-30,2
2016-04-29,2
2016-04-28,2
