day,favorites
2017-03-10,36216
2017-03-11,88647
2017-03-12,0
2017-03-13,268541
2017-03-14,136776
2017-03-15,515826
2017-03-16,359373
2017-03-17,214355
2017-03-18,151916
2017-03-19,30765
2017-03-20,467602
2017-03-21,208922
2017-03-22,76342
2017-03-23,377982
2017-03-24,242832
2017-03-25,288979
2017-03-26,54003
2017-03-27,91348
2017-03-28,567799
2017-03-29,225499
2017-03-30,327343
2017-03-31,378702
2017-04-01,368294
2017-04-02,199019
2017-04-03,527491
2017-04-04,115238
2017-04-05,57451
2017-04-06,122708
2017-04-07,0
2017-04-08,351708
2017-04-09,113277
2017-04-10,205471
2017-04-11,269825
2017-04-12,354085
2017-04-13,372036
2017-04-14,28250
2017-04-16,446618
2017-04-17,366022
2017-04-18,321174
2017-04-19,211274
2017-04-20,185193
2017-04-21,242978
2017-04-22,389239
2017-04-23,341856
2017-04-24,273610
2017-04-25,232578
2017-04-26,407113
2017-04-27,545948
2017-04-28,169459
2017-04-29,177830
2017-04-30,284790
2017-05-01,62150
2017-05-02,176906
2017-05-03,200369
2017-05-04,363491
2017-05-05,479846
2017-05-06,53716
2017-05-07,213793
2017-05-08,399380
2017-05-09,82220
2017-05-10,542600
2017-05-11,372559
2017-05-12,574894
2017-05-13,139488
2017-05-14,115244
2017-05-15,46658
2017-05-16,364868
2017-05-17,58831
2017-05-18,279236
2017-05-19,169435
2017-05-20,140292
2017-05-21,89457
2017-05-22,57380
2017-05-23,332058
2017-05-24,144786
2017-05-25,151135
2017-05-26,230403
2017-05-27,339734
2017-05-28,486052
2017-05-29,512990
2017-05-30,211121
2017-05-31,803193
2017-06-01,350138
2017-06-02,203727
2017-06-03,418399
2017-06-04,478690
2017-06-05,494993
2017-06-06,607991
2017-06-07,317191
2017-06-09,423634
2017-06-10,146966
2017-06-11,330139
2017-06-12,359125
2017-06-13,562513
2017-06-14,311897
2017-06-15,718990
2017-06-16,563222
2017-06-17,159542
2017-06-18,339291
2017-06-19,383712
2017-06-20,315671
2017-06-21,642256
2017-06-22,822551
2017-06-23,291250
2017-06-24,507402
2017-06-25,117867
2017-06-26,514850
2017-06-27,588236
2017-06-28,413160
2017-06-29,782189
2017-06-30,500552
2017-07-01,965272
2017-07-02,816009
2017-07-03,712753
2017-07-04,568782
2017-07-05,509233
2017-07-06,359124
2017-07-07,589625
2017-07-08,313775
2017-07-09,829315
2017-07-10,417038
2017-07-11,380320
2017-07-12,912673
2017-07-13,223054
2017-07-14,564883
2017-07-15,489881
2017-07-16,570873
2017-07-17,200762
2017-07-18,348392
2017-07-19,313053
2017-07-20,226818
2017-07-21,279026
2017-07-22,930752
2017-07-23,336994
2017-07-24,609894
2017-07-25,1014336
2017-07-26,810963
2017-07-27,519606
2017-07-28,541456
2017-07-29,961169
2017-07-30,89012
2017-07-31,318543
2017-08-01,274785
2017-08-02,225483
2017-08-03,537599
2017-08-04,515529
2017-08-05,498659
2017-08-06,96242
2017-08-07,1011187
2017-08-08,317144
2017-08-09,431626
2017-08-10,332581
2017-08-11,294455
2017-08-12,697403
2017-08-13,0
2017-08-14,542279
2017-08-15,300183
2017-08-16,663834
2017-08-17,1053449
2017-08-18,477940
2017-08-19,826550
2017-08-20,107761
2017-08-21,209553
2017-08-22,378508
2017-08-23,631656
2017-08-24,553551
2017-08-25,676700
2017-08-26,577719
2017-08-27,733628
2017-08-28,0
2017-08-29,187722
2017-08-30,438175
2017-08-31,190597
2017-09-01,486834
2017-09-02,299186
2017-09-03,918477
