date,Sent_Count,favorites,Count,sentcount1day,favcount1day,econcount1day,job_change1day,growthgap1day,change1day
2018-06-21,8,1292326,1,1.0,562614.0,1.0,270.0,1.6,-0.0010035482599189017
2018-06-26,1,786847,2,8.0,1292326.0,1.0,270.0,1.6,-0.006232787360486921
2018-07-03,5,1215032,1,1.0,786847.0,2.0,270.0,1.6,-0.00014725371815624952
2018-07-10,4,923929,2,5.0,1215032.0,1.0,270.0,1.8,-0.0072195550994980295
2018-07-11,-2,669961,1,4.0,923929.0,2.0,214.0,1.8,0.0017599942530798184
2018-07-12,-3,529895,1,-2.0,669961.0,1.0,214.0,1.8,-0.0010463647844126418
2018-07-18,19,1032228,1,-3.0,529895.0,1.0,214.0,1.8,0.00391691821187305
2018-07-24,5,881968,1,19.0,1032228.0,1.0,214.0,1.8,0.0017821499857428
2018-07-25,10,1033629,2,5.0,881968.0,1.0,214.0,1.8,-0.0006387735547748565
2018-07-31,5,1051292,1,10.0,1033629.0,2.0,214.0,1.8,0.009526179220132965
2018-08-03,4,542557,2,5.0,1051292.0,1.0,214.0,-1.4,0.0018517859050602966
2018-08-10,-2,813277,4,4.0,542557.0,2.0,149.0,-1.4,0.003787208438042155
2018-08-16,-2,1299042,1,-2.0,813277.0,4.0,149.0,-1.4,-0.001023108131945541
2018-08-17,6,1158286,1,-2.0,1299042.0,1.0,149.0,-1.4,0.002328863796753793
2018-08-20,-3,664383,1,6.0,1158286.0,1.0,149.0,-1.4,0.004333579959835177
2018-08-22,-1,847609,1,-3.0,664383.0,1.0,149.0,-1.4,0.00035017683930392806
2018-08-28,-1,658535,2,-1.0,847609.0,1.0,149.0,-1.4,0.0010144116412481477
2018-08-29,-2,1693439,3,-1.0,658535.0,2.0,149.0,-1.4,-0.0013089906992765946
2018-09-06,3,694934,1,-2.0,1693439.0,3.0,149.0,-1.5,0.004549214226633558
2018-09-17,3,708509,1,3.0,694934.0,1.0,149.0,-1.5,-0.0034238284627354397
2018-09-20,5,795432,2,3.0,708509.0,1.0,229.0,-1.5,-0.005089058524173091
2018-10-04,6,922971,1,5.0,795432.0,2.0,229.0,-1.5,0.003212137780207757
2018-10-16,-5,1196405,2,6.0,922971.0,1.0,229.0,-1.4,-0.005975685143210415
2018-11-05,0,923644,1,-5.0,1196405.0,2.0,105.0,-1.4,0.013738250180766284
2018-11-06,11,673896,3,0.0,923644.0,1.0,212.0,-1.4,0.003487006313316652
2018-11-12,1,732490,2,11.0,673896.0,3.0,212.0,-1.4,0.006585687106688173
2018-11-13,-1,1165047,1,1.0,732490.0,2.0,212.0,-1.4,-0.016667267938958855
2018-11-19,-1,469413,1,-1.0,1165047.0,1.0,212.0,-1.4,-0.003771650371672243
2018-11-27,-4,513250,1,-1.0,469413.0,1.0,212.0,-1.4,-0.014466214978941544
2018-11-30,7,835669,1,-4.0,513250.0,1.0,212.0,-1.4,0.007734474731546153
2018-12-03,6,966149,2,7.0,835669.0,1.0,212.0,-1.4,0.006719988313063712
2018-12-13,-2,843915,2,6.0,966149.0,2.0,212.0,-1.4,-0.003496503496503359
2018-12-17,10,443516,1,-2.0,843915.0,2.0,92.0,-1.4,-0.004314873180249052
2018-12-18,1,585138,1,10.0,443516.0,1.0,92.0,-1.4,-0.015574402467231938
2018-12-19,-1,927199,3,1.0,585138.0,1.0,92.0,-1.4,-0.008242612752721527
2018-12-24,3,1732670,3,-1.0,927199.0,3.0,92.0,-1.4,-0.01532311792138573
2018-12-28,-2,568052,2,3.0,1732670.0,3.0,92.0,-1.3,-0.019661981258366757
2019-01-08,5,561057,1,-2.0,568052.0,2.0,92.0,-1.3,-0.007332318294735205
2019-01-11,-3,1236372,2,5.0,561057.0,1.0,240.0,-1.3,-0.00019468888715836531
2019-01-14,8,1426206,2,-3.0,1236372.0,2.0,240.0,-1.3,0.005045017075442453
2019-01-15,-2,971503,2,8.0,1426206.0,2.0,240.0,-1.3,0.0021023125437980364
2019-01-18,1,1301787,2,-2.0,971503.0,2.0,240.0,-1.3,0.009813047862850165
2019-01-23,3,997145,2,1.0,1301787.0,2.0,240.0,-1.3,0.0055853271945051
2019-01-30,-3,1009294,1,3.0,997145.0,2.0,240.0,-1.3,-0.002272641187833665
2019-01-31,1,1341093,2,-3.0,1009294.0,1.0,240.0,-1.3,0.009354960392304644
2019-02-01,1,1042088,1,1.0,1341093.0,2.0,240.0,-1.3,0.00904639078912944
2019-02-14,-6,753331,2,1.0,1042088.0,1.0,237.0,-1.3,-0.00033314825097158977
2019-02-19,-9,1173355,1,-6.0,753331.0,2.0,237.0,-1.3,0.002191540653079198
2019-02-25,7,1281802,2,-9.0,1173355.0,1.0,237.0,-1.3,0.004955150462962979
2019-03-04,4,830965,1,7.0,1281802.0,2.0,237.0,-1.3,-0.004310191287001875
2019-03-06,-4,489165,1,4.0,830965.0,1.0,237.0,-1.3,-0.007812500000000161
2019-03-08,-6,1154677,1,-4.0,489165.0,1.0,237.0,-1.3,-0.006519792226401552
2019-03-11,-11,366490,1,-6.0,1154677.0,1.0,-50.0,-1.3,0.005568989521506492
2019-03-13,-2,1401800,1,-11.0,366490.0,1.0,-50.0,-1.3,0.011552713797863864
2019-03-14,-5,1042503,2,-2.0,1401800.0,1.0,-50.0,-1.3,0.0030661722760979638
2019-03-28,-9,1241762,1,-5.0,1042503.0,2.0,-50.0,-1.3,-0.0007463482247573642
2019-03-29,3,1331236,2,-9.0,1241762.0,1.0,-50.0,-0.9,0.0012841091492775346
2019-04-02,9,1175644,6,3.0,1331236.0,2.0,-50.0,-0.9,0.00031870816955285896
2019-04-08,-1,569966,2,9.0,1175644.0,6.0,-50.0,-0.9,-0.00024472101803941116
2019-04-09,-4,941174,2,-1.0,569966.0,2.0,168.0,-0.9,0.002395001735508496
2019-04-12,0,980196,1,-4.0,941174.0,2.0,168.0,-0.9,-0.0014249965243988078
2019-04-24,6,1342193,1,0.0,980196.0,1.0,168.0,-0.9,0.0005517241379311207
2019-04-25,-10,680703,1,6.0,1342193.0,1.0,168.0,-0.9,-0.0019126336281976922
2019-04-26,6,830502,6,-10.0,680703.0,1.0,168.0,-0.9,-0.00023962755032176227
2019-04-29,0,801554,2,6.0,830502.0,6.0,168.0,-0.3,0.00448476549127012
2019-04-30,-5,937582,1,0.0,801554.0,2.0,168.0,-0.3,0.0012265340192838868
2019-05-02,2,638328,1,-5.0,937582.0,1.0,168.0,-0.3,0.0018058536917781613
2019-05-03,-1,1349242,3,2.0,638328.0,1.0,168.0,-0.3,-0.001714207350521119
2019-05-06,10,1270230,2,-1.0,1349242.0,3.0,219.0,-0.3,0.0041322314049586075
2019-05-08,2,1576203,6,10.0,1270230.0,2.0,219.0,-0.3,0.012342264477095912
2019-05-10,7,1288873,2,2.0,1576203.0,6.0,219.0,-0.3,0.0
2019-05-13,3,1709184,1,7.0,1288873.0,2.0,219.0,-0.3,0.0086828653455641
2019-05-14,19,1066313,2,3.0,1709184.0,1.0,219.0,-0.3,-0.005523688124070541
2019-05-20,4,959035,3,19.0,1066313.0,2.0,219.0,-0.3,0.0050001773112520595
2019-05-22,-3,1546961,1,4.0,959035.0,3.0,219.0,-0.3,-0.0003872421319440035
2019-06-03,-1,1267241,1,-3.0,1546961.0,1.0,219.0,-0.3,0.0006305832895428512
