day,favorites
2017-10-07,195
2017-10-08,392
2017-10-09,836
2017-10-10,2488
2017-10-11,1972
2017-10-12,1858
2017-10-13,1199
2017-10-14,146
2017-10-15,5073
2017-10-16,1380
2017-10-17,1084
2017-10-18,1446
2017-10-19,1164
2017-10-20,1782
2017-10-21,308
2017-10-22,238
2017-10-23,1010
2017-10-24,2110
2017-10-25,1398
2017-10-26,1699
2017-10-27,3347
2017-10-28,305
2017-10-29,247
2017-10-30,524
2017-10-31,1555
2017-11-01,4192
2017-11-02,2244
2017-11-03,898
2017-11-04,266
2017-11-05,279
2017-11-06,683
2017-11-07,965
2017-11-08,902
2017-11-09,877
2017-11-10,1216
2017-11-11,141
2017-11-12,491
2017-11-13,907
2017-11-14,1087
2017-11-15,1260
2017-11-16,1184
2017-11-17,1289
2017-11-18,2150
2017-11-19,791
2017-11-20,1026
2017-11-21,1018
2017-11-22,1331
2017-11-23,855
2017-11-24,404
2017-11-25,780
2017-11-26,2924
2017-11-27,947
2017-11-28,970
2017-11-29,2255
2017-11-30,1221
2017-12-01,1939
2017-12-02,1757
2017-12-03,551
2017-12-04,1524
2017-12-05,2852
2017-12-06,442
2017-12-07,1209
2017-12-08,725
2017-12-09,1345
2017-12-10,344
2017-12-11,585
2017-12-12,1290
2017-12-13,351
2017-12-14,347
2017-12-15,139
2017-12-16,82
2017-12-17,147
2017-12-18,925
2017-12-19,1174
2017-12-20,2494
2017-12-21,10449
2017-12-22,1817
2017-12-23,355
2017-12-24,230
2017-12-25,2189
2017-12-26,1038
2017-12-27,473
2017-12-28,468
2017-12-29,1022
2017-12-30,378
2017-12-31,243
2018-01-01,186
2018-01-02,1860
2018-01-03,987
2018-01-04,910
2018-01-05,666
2018-01-06,2347
2018-01-07,624
2018-01-08,908
2018-01-09,700
2018-01-10,1124
2018-01-11,1170
2018-01-12,1040
2018-01-13,166
2018-01-14,373
2018-01-15,1063
2018-01-16,1310
2018-01-17,904
2018-01-18,829
2018-01-19,930
2018-01-20,415
2018-01-21,170
2018-01-22,3468
2018-01-23,724
2018-01-24,1324
2018-01-25,1552
2018-01-26,1179
2018-01-27,347
2018-01-28,360
2018-01-29,3194
2018-01-30,3199
2018-01-31,2799
2018-02-01,3444
2018-02-02,5592
2018-02-03,897
2018-02-04,2415
2018-02-05,14476
2018-02-06,5648
2018-02-07,2866
2018-02-08,6039
2018-02-09,4121
2018-02-10,1200
2018-02-11,1068
2018-02-12,3200
2018-02-13,1448
2018-02-14,2157
2018-02-15,2025
2018-02-16,1871
2018-02-17,225
2018-02-18,481
2018-02-19,503
2018-02-20,1630
2018-02-21,3204
2018-02-22,1899
2018-02-23,1428
2018-02-24,577
2018-02-25,304
2018-02-26,6529
2018-02-27,1163
2018-02-28,1563
2018-03-01,2501
2018-03-02,2927
2018-03-03,1269
2018-03-04,235
2018-03-05,2989
2018-03-06,1709
2018-03-07,2143
2018-03-08,1046
2018-03-09,2947
2018-03-10,942
2018-03-11,145
2018-03-12,5983
2018-03-13,1955
2018-03-14,1568
2018-03-15,5033
2018-03-16,1554
2018-03-17,419
2018-03-18,704
2018-03-19,2400
2018-03-20,2447
2018-03-21,3126
2018-03-22,2582
2018-03-23,3210
2018-03-24,1777
2018-03-25,547
2018-03-26,1845
2018-03-27,3207
2018-03-28,3893
2018-03-29,9496
2018-03-30,1276
2018-03-31,470
2018-04-01,3620
2018-04-02,2787
2018-04-03,3444
2018-04-04,2318
2018-04-05,1226
2018-04-06,3491
2018-04-07,1214
2018-04-08,1
2018-04-09,6779
2018-04-10,3696
2018-04-11,2185
2018-04-12,1260
2018-04-13,906
2018-04-14,1593
2018-04-15,468
2018-04-16,1290
2018-04-17,2614
2018-04-18,2249
2018-04-19,1116
2018-04-20,1396
2018-04-21,2101
2018-04-22,2481
2018-04-23,1641
2018-04-24,2215
2018-04-25,3033
2018-04-26,2450
2018-04-27,1660
2018-04-28,1345
2018-04-29,1258
2018-04-30,1630
2018-05-01,2522
2018-05-02,2727
2018-05-03,2156
2018-05-04,1776
2018-05-05,571
2018-05-06,541
2018-05-07,2437
2018-05-08,1387
2018-05-09,1757
2018-05-10,1505
2018-05-11,1750
2018-05-12,468
2018-05-13,3975
2018-05-14,958
2018-05-15,1405
2018-05-16,1298
2018-05-17,1805
2018-05-18,1737
2018-05-19,510
2018-05-20,541
2018-05-21,2478
2018-05-22,5579
2018-05-23,839
2018-05-24,1582
2018-05-25,2186
2018-05-26,498
2018-05-27,802
2018-05-28,773
2018-05-29,1052
2018-05-30,1299
2018-05-31,2446
2018-06-01,1587
2018-06-02,729
2018-06-03,359
2018-06-04,2294
2018-06-05,1038
2018-06-06,3963
2018-06-07,2195
2018-06-08,19939
2018-06-09,1102
2018-06-10,725
2018-06-11,2079
2018-06-12,1753
2018-06-13,3778
2018-06-14,2481
2018-06-15,3080
2018-06-16,495
2018-06-17,3491
2018-06-18,4243
2018-06-19,3380
2018-06-20,3453
2018-06-21,2974
