Date,Neg_Count,Pos_Count,favorites,Count,growthgap,job_change,negcount1day,poscount1day,favcount1day,econcount1day,change1day
2016-08-15,30,48,624,17,0.1,371.0,50.0,67.0,847.0,16.0,0.000778780521324916
2016-08-16,47,123,906,41,0.1,371.0,30.0,48.0,624.0,17.0,0.0009137009456805568
2016-08-17,44,66,839,13,0.1,371.0,47.0,123.0,906.0,41.0,-0.0029277218664226275
2016-08-18,41,59,552,19,0.1,371.0,44.0,66.0,839.0,13.0,0.0016972477064220392
2016-08-19,36,67,1173,20,0.1,371.0,41.0,59.0,552.0,19.0,0.002381606668498719
2016-08-22,28,47,2477,13,0.1,371.0,36.0,67.0,1173.0,20.0,0.001053547707388529
2016-08-23,57,64,1280,12,0.1,371.0,28.0,47.0,2477.0,13.0,0.0012370567213415662
2016-08-24,88,114,2017,21,0.1,371.0,57.0,64.0,1280.0,12.0,-0.0012770809578107234
2016-08-25,57,53,1097,16,0.1,371.0,88.0,114.0,2017.0,21.0,-0.0043418647166362755
2016-08-26,98,97,1259,22,0.2,371.0,57.0,53.0,1097.0,16.0,0.0013799448022078333
2016-08-29,33,55,887,12,0.2,371.0,98.0,97.0,1259.0,22.0,-0.002890969162995574
2016-08-30,82,82,812,18,0.2,371.0,33.0,55.0,887.0,12.0,0.0042310522442973505
2016-08-31,68,38,1233,14,0.2,371.0,82.0,82.0,812.0,18.0,-0.0011912398057362364
2016-09-01,140,133,1102,30,0.2,371.0,68.0,38.0,1233.0,14.0,-0.0010569367216580958
2016-09-02,39,61,1757,13,0.2,143.0,140.0,133.0,1102.0,30.0,9.200901688357092e-05
2016-09-06,43,64,744,11,0.2,143.0,39.0,61.0,1757.0,13.0,-9.157928476570269e-05
2016-09-07,57,53,1329,13,0.2,143.0,43.0,64.0,744.0,11.0,0.0015089163237311956
2016-09-08,55,64,885,13,0.2,143.0,57.0,53.0,1329.0,13.0,0.0007768232498628564
2016-09-09,41,52,1535,14,0.2,143.0,55.0,64.0,885.0,13.0,-0.0005031561613759658
2016-09-12,69,60,1863,12,0.2,143.0,41.0,52.0,1535.0,14.0,-0.01700695948748674
2016-09-13,45,59,750,18,0.2,143.0,69.0,60.0,1863.0,12.0,0.01859786242290135
2016-09-14,82,77,798,23,0.2,143.0,45.0,59.0,750.0,18.0,-0.007493948985291443
2016-09-15,53,75,2020,11,0.2,143.0,82.0,77.0,798.0,23.0,-0.0006563833278634084
2016-09-16,82,114,620,22,0.2,143.0,53.0,75.0,2020.0,11.0,0.010894064613072844
2016-09-19,27,31,730,11,0.2,143.0,82.0,114.0,620.0,22.0,-0.0005152707513583719
2016-09-20,83,120,4170,20,0.2,143.0,27.0,31.0,730.0,11.0,-0.003362443375519539
2016-09-21,48,71,1460,13,0.2,143.0,83.0,120.0,4170.0,20.0,-0.004617321953267147
2016-09-22,39,39,798,17,0.2,143.0,48.0,71.0,1460.0,13.0,0.007374906646751231
2016-09-23,40,53,1284,14,0.2,143.0,39.0,39.0,798.0,17.0,0.0008294930875576351
2016-09-26,33,43,989,14,0.2,143.0,40.0,53.0,1284.0,14.0,-0.0033684016242155304
2016-09-27,55,106,3680,16,0.2,143.0,33.0,43.0,989.0,14.0,-0.003627569528415967
2016-09-28,40,48,711,18,0.2,143.0,55.0,106.0,3680.0,16.0,0.0071011445923848705
2016-09-29,34,40,727,15,-0.1,143.0,40.0,48.0,711.0,18.0,0.0037529537135707436
2016-09-30,40,63,1407,19,-0.1,143.0,34.0,40.0,727.0,15.0,-0.007948243992606279
2016-10-03,36,24,996,7,-0.1,143.0,40.0,63.0,1407.0,19.0,0.0030141432877347817
2016-10-04,32,77,1401,18,-0.1,143.0,36.0,24.0,996.0,7.0,-0.00018533963488088245
2016-10-05,48,45,1338,8,-0.1,143.0,32.0,77.0,1401.0,18.0,-0.005696818118660506
2016-10-06,78,83,1221,36,-0.1,143.0,48.0,45.0,1338.0,8.0,0.0010213082029617883
2016-10-07,45,80,673,21,-0.1,289.0,78.0,83.0,1221.0,36.0,0.0019037006082555446
2016-10-10,48,34,361,15,-0.1,289.0,45.0,80.0,673.0,21.0,-0.0049051365108746066
2016-10-11,46,27,386,11,-0.1,289.0,48.0,34.0,361.0,15.0,0.0
2016-10-12,27,35,1149,7,-0.1,289.0,46.0,27.0,386.0,11.0,-0.010340350551794443
2016-10-13,64,84,1497,19,-0.1,289.0,27.0,35.0,1149.0,7.0,0.0005618240554333281
2016-10-14,26,33,448,14,-0.1,289.0,64.0,84.0,1497.0,19.0,0.00400641025641023
2016-10-17,30,33,449,5,-0.1,289.0,26.0,33.0,448.0,14.0,-0.004809712818118147
2016-10-18,25,21,420,7,-0.1,289.0,30.0,33.0,449.0,5.0,-0.0033319254774978077
2016-10-19,66,69,484,14,-0.1,289.0,25.0,21.0,420.0,7.0,-0.00247386109036595
2016-10-20,93,74,792,21,-0.1,289.0,66.0,69.0,484.0,14.0,0.0012148397346042
2016-10-21,50,53,590,22,-0.1,289.0,93.0,74.0,792.0,21.0,4.67573759760177e-05
2016-10-24,67,82,898,18,-0.1,289.0,50.0,53.0,590.0,22.0,0.0004675518982606804
2016-10-25,50,41,1451,22,-0.1,289.0,67.0,82.0,898.0,18.0,-0.0005116279069768076
2016-10-26,23,26,591,8,-0.1,289.0,50.0,41.0,1451.0,22.0,-0.0023756288429291005
2016-10-27,56,60,902,16,-0.1,289.0,23.0,26.0,591.0,8.0,0.002485812110126172
2016-10-28,57,59,1345,30,-0.7,289.0,56.0,60.0,902.0,16.0,-0.006570975859819298
2016-10-31,18,18,614,8,-0.7,289.0,57.0,59.0,1345.0,30.0,-0.0028150511400956853
2016-11-01,50,45,473,7,-0.7,289.0,18.0,18.0,614.0,8.0,-0.0017846240548536863
2016-11-02,41,51,1158,12,-0.7,289.0,50.0,45.0,473.0,7.0,-0.00901704785610302
2016-11-03,65,82,655,21,-0.7,289.0,41.0,51.0,1158.0,12.0,-0.0043199620223118755
2016-11-04,42,30,502,15,-0.7,118.0,65.0,82.0,655.0,21.0,-0.005762179151388199
2016-11-07,28,33,744,6,-0.7,118.0,42.0,30.0,502.0,15.0,-0.0017232300990856599
2016-11-08,60,74,948,23,-0.7,118.0,28.0,33.0,744.0,6.0,0.022057060656916774
2016-11-09,49,68,3053,25,-0.7,118.0,60.0,74.0,948.0,23.0,0.006676383468898471
2016-11-10,92,70,704,16,-0.7,118.0,49.0,68.0,3053.0,25.0,0.01888213966191077
2016-11-11,40,52,438,8,-0.7,118.0,92.0,70.0,704.0,16.0,-0.00174873446847687
2016-11-14,27,45,1221,14,-0.7,118.0,40.0,52.0,438.0,8.0,0.0015734912995185812
2016-11-15,80,104,5465,23,-0.7,118.0,27.0,45.0,1221.0,14.0,-0.0020273694880891943
2016-11-16,63,80,1171,17,-0.7,118.0,80.0,104.0,5465.0,23.0,0.005713232583855553
2016-11-17,85,107,2084,25,-0.7,118.0,63.0,80.0,1171.0,17.0,0.0014248942820371494
2016-11-18,52,83,1598,18,-0.7,118.0,85.0,107.0,2084.0,25.0,0.004310937858289373
2016-11-21,26,23,1269,12,-0.7,118.0,52.0,83.0,1598.0,18.0,-0.002601908065914973
2016-11-22,40,61,621,8,-0.7,118.0,26.0,23.0,1269.0,12.0,0.0044714148834239095
2016-11-23,19,35,864,4,-0.7,118.0,40.0,61.0,621.0,8.0,0.00031744592082001536
2016-11-25,11,16,535,4,-0.7,118.0,19.0,35.0,864.0,4.0,0.003273024820438217
2016-11-28,51,61,467,7,-0.7,118.0,11.0,16.0,535.0,4.0,0.001899592944369136
2016-11-29,28,38,546,11,-1.0,118.0,51.0,61.0,467.0,7.0,-0.0030746970519081518
2016-11-30,10,6,558,4,-1.0,118.0,28.0,38.0,546.0,11.0,0.0017685470705604317
2016-12-01,68,60,826,19,-1.0,118.0,10.0,6.0,558.0,4.0,-0.005640030681766909
2016-12-02,27,24,500,7,-1.0,130.0,68.0,60.0,826.0,19.0,-0.005255289267430782
2016-12-05,44,44,1579,12,-1.0,130.0,27.0,24.0,500.0,7.0,4.552282969918208e-05
2016-12-06,55,71,1930,17,-1.0,130.0,44.0,44.0,1579.0,12.0,0.0015862225243598199
2016-12-16,114,95,746,50,-1.0,130.0,55.0,71.0,1930.0,17.0,0.002169785733658755
2016-12-19,26,34,481,7,-1.0,130.0,114.0,95.0,746.0,50.0,-0.0042918454935622265
2016-12-20,19,30,588,7,-1.0,130.0,26.0,34.0,481.0,7.0,0.0012430632630410705
2016-12-21,72,68,713,16,-1.0,130.0,19.0,30.0,588.0,7.0,0.001105460977227504
2016-12-22,62,59,385,20,-1.3,130.0,72.0,68.0,713.0,16.0,-0.002121546961325922
2016-12-23,26,41,411,11,-1.3,130.0,62.0,59.0,385.0,20.0,-0.000975177304964534
2016-12-27,23,27,181,8,-1.3,130.0,26.0,41.0,411.0,11.0,0.0012420707093110993
