date,Neg_Count,Pos_Count,favorites,Count
2017-04-20,40,42,2228,5
2017-04-21,21,23,518,1
2017-04-24,38,43,569,3
2017-04-25,29,56,610,13
2017-04-26,39,53,533,8
2017-04-27,33,50,1145,6
2017-04-28,24,27,650,4
2017-05-01,24,40,1052,4
2017-05-02,27,38,2458,5
2017-05-03,118,116,589,22
2017-05-04,53,53,2375,2
2017-05-05,20,32,955,2
2017-05-08,93,80,398,9
2017-05-09,82,90,1067,8
2017-05-10,84,99,1876,5
2017-05-11,32,67,399,6
2017-05-12,53,58,564,4
2017-05-15,19,42,734,1
2017-05-16,57,79,1041,5
2017-05-17,38,60,1488,4
2017-05-18,46,67,680,7
2017-05-19,107,101,1596,29
2017-05-22,37,41,653,4
2017-05-23,33,49,726,8
2017-05-24,22,34,972,3
2017-05-25,35,77,1283,2
2017-05-26,27,25,578,3
2017-05-31,43,38,1679,5
2017-06-01,24,56,617,3
2017-06-02,19,29,603,3
2017-06-05,38,50,826,3
2017-06-06,129,86,827,23
2017-06-07,37,42,553,2
2017-06-08,35,46,941,5
2017-06-09,90,83,2122,9
2017-06-12,26,63,595,2
2017-06-13,43,41,2718,7
2017-06-14,20,23,1043,8
2017-06-15,66,52,1287,5
2017-06-16,31,51,14026,4
2017-06-19,22,26,793,4
2017-06-20,35,56,3345,4
2017-06-21,44,57,1201,5
2017-06-22,58,84,1024,7
2017-06-23,66,53,988,6
2017-06-26,54,84,874,7
2017-06-27,33,51,1230,2
2017-06-28,43,46,1792,6
2017-06-29,62,48,3413,8
2017-06-30,43,54,1716,4
2017-07-03,10,16,1089,1
2017-07-05,34,35,750,5
2017-07-06,22,13,1318,3
2017-07-07,18,32,750,5
2017-07-10,39,46,669,8
2017-07-11,40,33,576,4
2017-07-12,24,42,1066,6
2017-07-13,72,101,2233,16
2017-07-14,50,90,737,10
2017-07-17,24,34,543,6
2017-07-18,48,49,2081,6
2017-07-20,40,54,1045,5
2017-07-21,63,87,584,6
2017-07-24,14,35,1044,5
2017-07-25,43,74,1914,8
2017-07-26,77,126,1173,10
2017-07-27,41,75,2158,8
2017-07-28,40,58,2745,5
2017-07-31,50,43,895,4
2017-08-01,29,40,949,4
2017-08-02,58,71,2059,7
2017-08-03,52,100,1699,5
2017-08-04,48,65,1046,5
2017-08-07,29,41,519,3
2017-08-08,50,55,1072,2
2017-08-09,39,41,739,6
2017-08-10,61,50,2200,3
2017-08-11,48,70,1026,13
2017-08-14,26,48,1147,6
2017-08-15,36,46,936,2
2017-08-16,32,59,796,4
2017-08-17,77,78,4360,4
2017-08-18,32,23,546,3
2017-08-21,8,24,592,1
2017-08-22,49,61,1559,4
2017-08-23,29,66,641,1
2017-08-24,46,45,708,11
2017-08-25,43,55,539,3
2017-08-28,13,11,643,3
2017-08-29,24,19,737,1
2017-08-30,29,35,572,3
2017-08-31,9,33,465,2
2017-09-01,13,36,761,4
2017-09-05,36,44,3767,5
2017-09-06,26,23,524,6
2017-09-07,22,24,975,1
2017-09-08,24,34,725,1
2017-09-11,15,35,1016,2
2017-09-12,32,34,725,2
2017-09-13,70,47,702,11
2017-09-14,70,81,881,21
2017-09-15,44,55,2122,9
2017-09-18,33,47,1001,3
2017-09-19,50,56,1260,5
2017-09-20,23,24,1162,6
2017-09-21,31,16,884,5
2017-09-22,58,99,607,4
2017-09-25,24,31,787,2
2017-09-26,45,36,1529,6
2017-09-27,113,119,1186,24
2017-09-28,80,101,2761,18
2017-09-29,20,35,774,4
2017-10-02,29,46,1261,6
2017-10-03,32,38,4502,2
2017-10-04,45,37,834,5
2017-10-05,34,40,924,5
2017-10-06,120,96,868,31
2017-10-09,22,34,836,8
2017-10-10,37,50,2488,6
2017-10-11,68,54,1972,3
2017-10-12,54,65,1858,5
2017-10-13,42,59,1199,4
2017-10-16,116,113,1380,32
2017-10-17,23,40,1084,4
2017-10-19,37,59,1164,3
2017-10-20,39,56,1782,2
2017-10-23,33,37,1010,5
2017-10-24,55,62,2110,4
2017-10-25,53,46,1398,7
2017-10-26,75,68,1699,5
2017-10-27,42,57,3347,6
2017-10-30,28,29,524,3
2017-10-31,28,57,1555,5
2017-11-01,37,63,4192,5
2017-11-02,106,108,2244,9
2017-11-03,46,66,898,10
2017-11-06,18,33,683,3
2017-11-07,32,54,965,4
2017-11-08,22,38,902,3
2017-11-09,39,49,877,8
2017-11-13,37,45,907,2
2017-11-14,27,33,1087,8
2017-11-15,49,39,1260,6
2017-11-16,37,40,1184,3
2017-11-17,30,43,1289,7
2017-11-20,43,52,1026,6
2017-11-21,16,29,1018,1
2017-11-22,44,67,1331,9
2017-11-24,17,19,404,3
2017-11-27,32,42,947,1
2017-11-29,33,49,2255,2
2017-11-30,33,31,1221,1
2017-12-01,40,36,1939,1
2017-12-04,57,61,1524,3
2017-12-05,38,47,2852,4
2017-12-06,18,21,442,6
2017-12-07,78,80,1209,5
2017-12-08,24,32,725,4
2017-12-12,38,44,1290,10
2017-12-13,54,41,351,3
2017-12-14,22,26,347,1
2017-12-19,18,31,1174,3
2017-12-20,21,42,2494,1
2017-12-21,29,65,10449,10
2017-12-22,29,44,1817,2
2017-12-26,12,36,1038,3
2017-12-27,10,23,473,2
2017-12-28,23,28,468,4
2017-12-29,29,29,1022,1
2018-01-02,24,53,1860,4
2018-01-03,37,54,987,4
2018-01-04,36,33,910,5
2018-01-05,34,64,666,7
2018-01-08,21,30,908,4
2018-01-09,48,35,700,3
2018-01-10,24,35,1124,5
2018-01-11,32,58,1170,3
2018-01-12,48,78,1040,7
2018-01-16,22,26,1310,2
2018-01-17,17,37,904,1
2018-01-19,21,10,930,3
2018-01-22,34,37,3468,10
2018-01-23,33,51,724,5
2018-01-24,48,80,1324,8
2018-01-25,28,35,1552,4
2018-01-26,44,65,1179,3
2018-01-29,39,48,3194,6
2018-01-30,41,64,3199,4
2018-01-31,57,99,2799,15
2018-02-01,62,88,3444,11
2018-02-02,73,60,5592,7
2018-02-05,129,115,14476,17
2018-02-06,190,193,5648,20
2018-02-07,57,81,2866,4
2018-02-08,153,97,6039,15
2018-02-09,100,87,4121,15
2018-02-12,31,32,3200,2
2018-02-13,48,66,1448,11
2018-02-14,36,61,2157,3
2018-02-15,53,76,2025,11
2018-02-16,41,47,1871,8
2018-02-20,24,25,1630,2
2018-02-21,18,24,3204,3
2018-02-22,33,51,1899,4
2018-02-23,55,50,1428,3
2018-02-26,36,64,6529,5
2018-02-27,66,71,1163,7
2018-02-28,26,46,1563,2
2018-03-01,49,61,2501,6
2018-03-02,95,75,2927,14
2018-03-05,59,73,2989,8
2018-03-06,45,53,1709,7
2018-03-07,47,47,2143,5
2018-03-08,45,81,1046,13
2018-03-09,82,83,2947,7
2018-03-12,67,69,5983,2
2018-03-13,29,29,1955,3
2018-03-14,48,62,1568,2
2018-03-15,58,53,5033,5
2018-03-16,62,52,1554,8
2018-03-19,22,12,2400,1
2018-03-20,50,49,2447,3
2018-03-21,82,72,3126,18
2018-03-22,88,68,2582,10
2018-03-23,86,74,3210,9
2018-03-26,34,49,1845,3
2018-03-27,68,70,3207,8
2018-03-28,51,60,3893,7
2018-03-29,87,91,9496,16
2018-04-02,78,56,2787,7
2018-04-03,79,95,3444,14
2018-04-04,69,96,2318,9
2018-04-05,86,85,1226,14
2018-04-06,93,98,3491,9
2018-04-09,64,74,6779,6
2018-04-10,86,91,3696,8
2018-04-11,69,79,2185,4
2018-04-12,125,127,1260,9
2018-04-13,53,44,906,6
2018-04-16,62,43,1290,4
2018-04-17,40,37,2614,4
2018-04-18,57,102,2249,3
2018-04-19,33,28,1116,4
2018-04-20,67,66,1396,4
2018-04-23,34,51,1641,4
2018-04-24,60,61,2215,8
2018-04-25,59,92,3033,10
2018-04-26,43,56,2450,4
2018-04-27,77,81,1660,6
2018-04-30,54,53,1630,5
2018-05-01,57,69,2522,5
2018-05-02,99,119,2727,10
2018-05-03,99,95,2156,10
2018-05-04,111,126,1776,12
2018-05-07,67,65,2437,14
2018-05-08,65,106,1387,12
2018-05-09,69,93,1757,3
2018-05-10,71,123,1505,14
2018-05-11,44,80,1750,6
2018-05-14,37,68,958,9
2018-05-15,69,87,1405,9
2018-05-16,67,86,1298,9
2018-05-17,33,65,1805,6
2018-05-18,70,96,1737,7
2018-05-21,55,65,2478,9
2018-05-22,74,97,5579,17
2018-05-23,70,107,839,9
2018-05-24,142,117,1582,11
2018-05-25,60,95,2186,11
2018-05-29,56,100,1052,10
2018-05-30,94,86,1299,13
2018-05-31,97,89,2446,10
