date,Neg_Count,Pos_Count,favorites,Count,negcount1day,poscount1day,favcount1day,econcount1day,job_change1day,growthgap1day,change1day
2016-05-27,77,71,1087,9,41.0,73.0,401.0,6.0,197.0,1.8,-0.0004774637127578033
2016-05-31,40,54,800,11,77.0,71.0,1087.0,9.0,197.0,1.5,0.003388536247792717
2016-06-01,32,62,910,7,40.0,54.0,800.0,11.0,197.0,1.5,-0.0034194528875379888
2016-06-02,40,33,740,6,32.0,62.0,910.0,7.0,197.0,1.5,0.005499234889058941
2016-06-03,13,15,540,1,40.0,33.0,740.0,6.0,197.0,1.5,0.005290753098188682
2016-06-06,40,42,456,10,13.0,15.0,540.0,1.0,41.0,1.5,0.000142687277051135
2016-06-07,57,135,654,9,40.0,42.0,456.0,10.0,41.0,1.5,0.0030849549121974643
2016-06-08,40,57,492,8,57.0,135.0,654.0,9.0,41.0,1.5,0.0007091192738618903
2016-06-09,96,96,469,13,40.0,57.0,492.0,8.0,41.0,1.5,0.0025018882175226642
2016-06-10,16,24,275,4,96.0,96.0,469.0,13.0,41.0,1.5,0.0026949080421730487
2016-06-13,34,60,297,5,16.0,24.0,275.0,4.0,41.0,1.5,-0.0018530837213723023
2016-06-14,36,35,786,5,34.0,60.0,297.0,5.0,41.0,1.5,-0.004346580053496489
2016-06-15,22,33,402,5,36.0,35.0,786.0,5.0,41.0,1.5,0.00019230769230765404
2016-06-16,45,48,529,7,22.0,33.0,402.0,5.0,41.0,1.5,-0.0013939626994808306
2016-06-17,65,69,481,5,45.0,48.0,529.0,7.0,41.0,1.5,0.002984356197352609
2016-06-20,51,49,1325,8,65.0,69.0,481.0,5.0,41.0,1.5,-0.003137519911183942
2016-06-21,66,90,2709,16,51.0,49.0,1325.0,8.0,41.0,1.5,-0.004645148932094622
2016-06-22,44,69,584,11,66.0,90.0,2709.0,16.0,41.0,1.5,0.0006721075372058874
2016-06-23,29,35,812,3,44.0,69.0,584.0,11.0,41.0,1.5,-0.0026359932901989518
2016-06-24,104,72,1805,9,29.0,35.0,812.0,3.0,41.0,1.5,0.004766217053524618
2016-06-27,47,51,1293,11,104.0,72.0,1805.0,9.0,41.0,1.5,-0.001915238422629212
2016-06-28,76,94,1624,18,47.0,51.0,1293.0,11.0,41.0,1.5,-0.009871521404831636
2016-06-29,57,71,1524,13,76.0,94.0,1624.0,18.0,41.0,1.2,0.008536827476672617
2016-06-30,88,100,1040,14,57.0,71.0,1524.0,13.0,41.0,1.2,0.008884983401679326
2016-07-01,57,71,772,4,88.0,100.0,1040.0,14.0,41.0,1.2,0.010955069736016513
2016-07-05,33,34,481,10,57.0,71.0,772.0,4.0,41.0,1.2,0.0021004391827381982
2016-07-06,45,48,710,5,33.0,34.0,481.0,10.0,41.0,1.2,-0.0025843503230437524
2016-07-07,67,103,780,13,45.0,48.0,710.0,5.0,41.0,1.2,0.008805273540874677
2016-07-08,107,91,1140,14,67.0,103.0,780.0,13.0,41.0,1.2,-0.0016200505074570133
2016-07-11,49,61,1035,6,107.0,91.0,1140.0,14.0,258.0,1.2,0.00758114190950009
2016-07-12,62,98,805,11,49.0,61.0,1035.0,6.0,258.0,1.2,0.0009850368216145595
2016-07-13,43,55,773,9,62.0,98.0,805.0,11.0,258.0,1.2,0.001957768144315422
2016-07-14,106,141,1480,15,43.0,55.0,773.0,9.0,258.0,1.2,-0.002413665057556676
2016-07-15,61,48,335,7,106.0,141.0,1480.0,15.0,258.0,1.2,-0.0012939001848428888
2016-07-18,77,84,2096,11,61.0,48.0,335.0,7.0,258.0,1.2,-0.00438232309253616
2016-07-19,56,127,967,10,77.0,84.0,2096.0,11.0,258.0,1.2,0.0020373199981478804
2016-07-20,54,103,752,10,56.0,127.0,967.0,10.0,258.0,1.2,0.0012504631344943044
2016-07-21,53,78,1890,6,54.0,103.0,752.0,10.0,258.0,1.2,0.0041630047643277015
2016-07-22,49,91,766,8,53.0,78.0,1890.0,6.0,258.0,1.2,-0.003180309734513264
2016-07-25,120,125,557,13,49.0,91.0,766.0,8.0,258.0,1.2,0.0038353126010813392
2016-07-26,57,66,570,10,120.0,125.0,557.0,13.0,258.0,1.2,-0.0016129032258064256
2016-07-27,77,124,1149,11,57.0,66.0,570.0,10.0,258.0,1.2,0.0010160254930032737
2016-07-28,65,91,805,13,77.0,124.0,1149.0,11.0,258.0,1.2,-0.0030848565771904213
2016-07-29,45,65,814,6,65.0,91.0,805.0,13.0,258.0,1.2,0.0022192426834343627
2016-08-01,37,36,343,4,45.0,65.0,814.0,6.0,258.0,0.1,0.0030490621823893397
2016-08-02,77,103,1054,15,37.0,36.0,343.0,4.0,258.0,0.1,-0.0011510658870113725
2016-08-03,57,51,1175,6,77.0,103.0,1054.0,15.0,258.0,0.1,-0.0050773136395107065
2016-08-04,38,49,903,3,57.0,51.0,1175.0,6.0,258.0,0.1,0.003248561351401601
2016-08-05,47,53,462,2,38.0,49.0,903.0,3.0,258.0,0.1,0.000462299477601564
2016-08-08,37,54,458,4,47.0,53.0,462.0,2.0,371.0,0.1,0.008178919643269767
2016-08-09,30,57,493,6,37.0,54.0,458.0,4.0,371.0,0.1,-0.0016025641025640765
2016-08-10,54,72,663,7,30.0,57.0,493.0,6.0,371.0,0.1,0.00022922110667955518
2016-08-11,62,80,657,5,54.0,72.0,663.0,7.0,371.0,0.1,-0.0030690302780450552
2016-08-12,50,67,847,7,62.0,80.0,657.0,5.0,371.0,0.1,0.0017868597086044844
2016-08-15,30,48,624,12,50.0,67.0,847.0,7.0,371.0,0.1,0.000778780521324916
2016-08-16,47,123,906,10,30.0,48.0,624.0,12.0,371.0,0.1,0.0009137009456805568
2016-08-17,44,66,839,9,47.0,123.0,906.0,10.0,371.0,0.1,-0.0029277218664226275
2016-08-18,41,59,552,11,44.0,66.0,839.0,9.0,371.0,0.1,0.0016972477064220392
2016-08-19,36,67,1173,6,41.0,59.0,552.0,11.0,371.0,0.1,0.002381606668498719
2016-08-22,28,47,2477,6,36.0,67.0,1173.0,6.0,371.0,0.1,0.001053547707388529
2016-08-23,57,64,1280,7,28.0,47.0,2477.0,6.0,371.0,0.1,0.0012370567213415662
2016-08-24,88,114,2017,22,57.0,64.0,1280.0,7.0,371.0,0.1,-0.0012770809578107234
2016-08-25,57,53,1097,5,88.0,114.0,2017.0,22.0,371.0,0.1,-0.0043418647166362755
2016-08-26,98,97,1259,12,57.0,53.0,1097.0,5.0,371.0,0.1,0.0013799448022078333
2016-08-29,33,55,887,5,98.0,97.0,1259.0,12.0,371.0,0.2,-0.002890969162995574
2016-08-30,82,82,812,12,33.0,55.0,887.0,5.0,371.0,0.2,0.0042310522442973505
2016-08-31,68,38,1233,2,82.0,82.0,812.0,12.0,371.0,0.2,-0.0011912398057362364
2016-09-01,140,133,1102,18,68.0,38.0,1233.0,2.0,371.0,0.2,-0.0010569367216580958
2016-09-02,39,61,1757,6,140.0,133.0,1102.0,18.0,371.0,0.2,9.200901688357092e-05
2016-09-06,43,64,744,4,39.0,61.0,1757.0,6.0,143.0,0.2,-9.157928476570269e-05
2016-09-07,57,53,1329,7,43.0,64.0,744.0,4.0,143.0,0.2,0.0015089163237311956
2016-09-08,55,64,885,8,57.0,53.0,1329.0,7.0,143.0,0.2,0.0007768232498628564
2016-09-09,41,52,1535,15,55.0,64.0,885.0,8.0,143.0,0.2,-0.0005031561613759658
2016-09-12,69,60,1863,11,41.0,52.0,1535.0,15.0,143.0,0.2,-0.01700695948748674
2016-09-13,45,59,750,6,69.0,60.0,1863.0,11.0,143.0,0.2,0.01859786242290135
2016-09-14,82,77,798,11,45.0,59.0,750.0,6.0,143.0,0.2,-0.007493948985291443
2016-09-15,53,75,2020,16,82.0,77.0,798.0,11.0,143.0,0.2,-0.0006563833278634084
2016-09-16,82,114,620,14,53.0,75.0,2020.0,16.0,143.0,0.2,0.010894064613072844
2016-09-19,27,31,730,1,82.0,114.0,620.0,14.0,143.0,0.2,-0.0005152707513583719
2016-09-20,83,120,4170,13,27.0,31.0,730.0,1.0,143.0,0.2,-0.003362443375519539
2016-09-21,48,71,1460,11,83.0,120.0,4170.0,13.0,143.0,0.2,-0.004617321953267147
2016-09-22,39,39,798,4,48.0,71.0,1460.0,11.0,143.0,0.2,0.007374906646751231
2016-09-23,40,53,1284,10,39.0,39.0,798.0,4.0,143.0,0.2,0.0008294930875576351
2016-09-26,33,43,989,7,40.0,53.0,1284.0,10.0,143.0,0.2,-0.0033684016242155304
2016-09-27,55,106,3680,20,33.0,43.0,989.0,7.0,143.0,0.2,-0.003627569528415967
2016-09-28,40,48,711,2,55.0,106.0,3680.0,20.0,143.0,0.2,0.0071011445923848705
2016-09-29,34,40,727,6,40.0,48.0,711.0,2.0,143.0,0.2,0.0037529537135707436
2016-09-30,40,63,1407,6,34.0,40.0,727.0,6.0,143.0,-0.1,-0.007948243992606279
2016-10-03,36,24,996,2,40.0,63.0,1407.0,6.0,143.0,-0.1,0.0030141432877347817
2016-10-04,32,77,1401,9,36.0,24.0,996.0,2.0,143.0,-0.1,-0.00018533963488088245
2016-10-05,48,45,1338,5,32.0,77.0,1401.0,9.0,143.0,-0.1,-0.005696818118660506
2016-10-06,78,83,1221,5,48.0,45.0,1338.0,5.0,143.0,-0.1,0.0010213082029617883
2016-10-07,45,80,673,12,78.0,83.0,1221.0,5.0,143.0,-0.1,0.0019037006082555446
2016-10-10,48,34,361,7,45.0,80.0,673.0,12.0,289.0,-0.1,-0.0049051365108746066
2016-10-11,46,27,386,6,48.0,34.0,361.0,7.0,289.0,-0.1,0.0
2016-10-12,27,35,1149,3,46.0,27.0,386.0,6.0,289.0,-0.1,-0.010340350551794443
2016-10-13,64,84,1497,9,27.0,35.0,1149.0,3.0,289.0,-0.1,0.0005618240554333281
2016-10-14,26,33,448,2,64.0,84.0,1497.0,9.0,289.0,-0.1,0.00400641025641023
2016-10-18,25,21,420,5,26.0,33.0,448.0,2.0,289.0,-0.1,-0.004809712818118147
2016-10-19,66,69,484,7,25.0,21.0,420.0,5.0,289.0,-0.1,-0.00247386109036595
2016-10-20,93,74,792,9,66.0,69.0,484.0,7.0,289.0,-0.1,0.0012148397346042
2016-10-21,50,53,590,13,93.0,74.0,792.0,9.0,289.0,-0.1,4.67573759760177e-05
2016-10-24,67,82,898,5,50.0,53.0,590.0,13.0,289.0,-0.1,0.0004675518982606804
2016-10-25,50,41,1451,7,67.0,82.0,898.0,5.0,289.0,-0.1,-0.0005116279069768076
2016-10-26,23,26,591,4,50.0,41.0,1451.0,7.0,289.0,-0.1,-0.0023756288429291005
2016-10-27,56,60,902,7,23.0,26.0,591.0,4.0,289.0,-0.1,0.002485812110126172
2016-10-28,57,59,1345,11,56.0,60.0,902.0,7.0,289.0,-0.1,-0.006570975859819298
2016-11-01,50,45,473,7,57.0,59.0,1345.0,11.0,289.0,-0.7,-0.0028150511400956853
2016-11-02,41,51,1158,8,50.0,45.0,473.0,7.0,289.0,-0.7,-0.00901704785610302
2016-11-03,65,82,655,13,41.0,51.0,1158.0,8.0,289.0,-0.7,-0.0043199620223118755
2016-11-04,42,30,502,3,65.0,82.0,655.0,13.0,289.0,-0.7,-0.005762179151388199
2016-11-07,28,33,744,1,42.0,30.0,502.0,3.0,118.0,-0.7,-0.0017232300990856599
2016-11-08,60,74,948,8,28.0,33.0,744.0,1.0,118.0,-0.7,0.022057060656916774
2016-11-09,49,68,3053,10,60.0,74.0,948.0,8.0,118.0,-0.7,0.006676383468898471
2016-11-10,92,70,704,5,49.0,68.0,3053.0,10.0,118.0,-0.7,0.01888213966191077
2016-11-11,40,52,438,5,92.0,70.0,704.0,5.0,118.0,-0.7,-0.00174873446847687
2016-11-14,27,45,1221,9,40.0,52.0,438.0,5.0,118.0,-0.7,0.0015734912995185812
2016-11-15,80,104,5465,8,27.0,45.0,1221.0,9.0,118.0,-0.7,-0.0020273694880891943
2016-11-16,63,80,1171,5,80.0,104.0,5465.0,8.0,118.0,-0.7,0.005713232583855553
2016-11-17,85,107,2084,15,63.0,80.0,1171.0,5.0,118.0,-0.7,0.0014248942820371494
2016-11-18,52,83,1598,7,85.0,107.0,2084.0,15.0,118.0,-0.7,0.004310937858289373
2016-11-21,26,23,1269,2,52.0,83.0,1598.0,7.0,118.0,-0.7,-0.002601908065914973
2016-11-22,40,61,621,13,26.0,23.0,1269.0,2.0,118.0,-0.7,0.0044714148834239095
2016-11-23,19,35,864,8,40.0,61.0,621.0,13.0,118.0,-0.7,0.00031744592082001536
2016-11-25,11,16,535,5,19.0,35.0,864.0,8.0,118.0,-0.7,0.003273024820438217
2016-11-28,51,61,467,4,11.0,16.0,535.0,5.0,118.0,-0.7,0.001899592944369136
2016-11-29,28,38,546,10,51.0,61.0,467.0,4.0,118.0,-0.7,-0.0030746970519081518
2016-11-30,10,6,558,1,28.0,38.0,546.0,10.0,118.0,-1.0,0.0017685470705604317
2016-12-01,68,60,826,13,10.0,6.0,558.0,1.0,118.0,-1.0,-0.005640030681766909
2016-12-02,27,24,500,1,68.0,60.0,826.0,13.0,118.0,-1.0,-0.005255289267430782
2016-12-05,44,44,1579,1,27.0,24.0,500.0,1.0,130.0,-1.0,4.552282969918208e-05
2016-12-06,55,71,1930,6,44.0,44.0,1579.0,1.0,130.0,-1.0,0.0015862225243598199
2016-12-16,114,95,746,12,55.0,71.0,1930.0,6.0,130.0,-1.0,0.002169785733658755
2016-12-19,26,34,481,1,114.0,95.0,746.0,12.0,130.0,-1.0,-0.0042918454935622265
2016-12-20,19,30,588,1,26.0,34.0,481.0,1.0,130.0,-1.0,0.0012430632630410705
2016-12-21,72,68,713,10,19.0,30.0,588.0,1.0,130.0,-1.0,0.001105460977227504
2016-12-22,62,59,385,9,72.0,68.0,713.0,10.0,130.0,-1.0,-0.002121546961325922
2016-12-23,26,41,411,7,62.0,59.0,385.0,9.0,130.0,-1.3,-0.000975177304964534
2016-12-27,23,27,181,4,26.0,41.0,411.0,7.0,130.0,-1.3,0.0012420707093110993
2016-12-28,10,15,730,2,23.0,27.0,181.0,4.0,130.0,-1.3,0.0011060968055924254
2016-12-29,26,21,1063,1,10.0,15.0,730.0,2.0,130.0,-1.3,-0.00957761398243363
2016-12-30,15,25,477,3,26.0,21.0,1063.0,1.0,130.0,-1.3,-0.0005791161796150902
2017-01-04,31,35,1465,2,15.0,25.0,477.0,3.0,130.0,-1.3,-0.005339741022560357
2017-01-05,28,31,1268,3,31.0,35.0,1465.0,2.0,130.0,-1.3,0.0042549419377715106
2017-01-06,71,102,720,9,28.0,31.0,1268.0,3.0,130.0,-1.3,0.0005745348477482452
2017-01-09,104,120,551,18,71.0,102.0,720.0,9.0,214.0,-1.3,0.003001809914801601
2017-01-10,47,50,696,10,104.0,120.0,551.0,18.0,214.0,-1.3,-0.001983165131549904
2017-01-11,87,93,3245,14,47.0,50.0,696.0,10.0,214.0,-1.3,-8.83080183679875e-05
2017-01-12,48,76,2252,8,87.0,93.0,3245.0,14.0,214.0,-1.3,0.0032691288213464423
2017-01-13,134,124,671,22,48.0,76.0,2252.0,8.0,214.0,-1.3,0.00013245033112583283
2017-01-17,101,90,1018,13,134.0,124.0,671.0,22.0,214.0,-1.3,0.0014113703524016301
2017-01-18,44,54,430,11,101.0,90.0,1018.0,13.0,214.0,-1.3,-0.0002651230612876244
2017-01-19,121,126,1976,42,44.0,54.0,430.0,11.0,214.0,-1.3,0.0009269886112828107
2017-01-20,12,21,459,3,121.0,126.0,1976.0,42.0,214.0,-1.3,-0.00409980603068245
2017-01-23,21,34,796,2,12.0,21.0,459.0,3.0,214.0,-1.3,0.00017644464049413526
2017-01-24,24,31,406,1,21.0,34.0,796.0,2.0,214.0,-1.3,-0.002602099320807989
2017-01-25,60,65,1669,11,24.0,31.0,406.0,1.0,214.0,-1.3,0.005300353356890409
2017-01-26,58,71,13436,9,60.0,65.0,1669.0,11.0,214.0,-1.3,0.0038041101880192593
2017-01-27,234,250,11001,32,58.0,71.0,13436.0,9.0,214.0,-1.3,-0.0003051438535309205
2017-01-30,42,51,1350,5,234.0,250.0,11001.0,32.0,214.0,0.6,-0.0019614680498648267
2017-01-31,78,78,43414,10,42.0,51.0,1350.0,5.0,214.0,0.6,-0.0027172722093175092
2017-02-01,47,55,3016,5,78.0,78.0,43414.0,10.0,214.0,0.6,0.002423120979822061
2017-02-02,64,59,989,8,47.0,55.0,3016.0,5.0,214.0,0.6,0.00039555223487014197
2017-02-03,39,49,1664,5,64.0,59.0,989.0,8.0,214.0,0.6,0.0006589930586064745
2017-02-06,35,41,1747,5,39.0,49.0,1664.0,5.0,197.0,0.6,0.0022725286251202266
2017-02-07,52,104,3696,10,35.0,41.0,1747.0,5.0,197.0,0.6,0.0002621575566915816
2017-02-08,81,151,1403,9,52.0,104.0,3696.0,10.0,197.0,0.6,-0.0019182143168541184
2017-02-09,69,62,885,5,81.0,151.0,1403.0,9.0,197.0,0.6,0.001310387000961
2017-02-10,46,78,1272,2,69.0,62.0,885.0,5.0,197.0,0.6,0.005932647007502989
2017-02-13,97,87,768,13,46.0,78.0,1272.0,2.0,197.0,0.6,0.0022077922077921685
2017-02-14,40,54,675,8,97.0,87.0,768.0,13.0,197.0,0.6,0.0029731127197518
2017-02-15,75,74,2361,3,40.0,54.0,675.0,8.0,197.0,0.6,0.004901960784313666
2017-02-16,58,66,902,5,75.0,74.0,2361.0,3.0,197.0,0.6,0.006296851574212889
2017-02-17,57,65,990,5,58.0,66.0,902.0,5.0,197.0,0.6,-0.0009789316875930614
2017-02-21,94,136,5923,17,57.0,65.0,990.0,5.0,197.0,0.6,0.004872836076084697
2017-02-22,63,77,1096,3,94.0,136.0,5923.0,17.0,197.0,0.6,0.004118546195652169
2017-02-23,96,112,1376,16,63.0,77.0,1096.0,3.0,197.0,0.6,0.0011016015591898607
2017-02-24,63,92,1029,9,96.0,112.0,1376.0,16.0,197.0,0.6,-0.0018574805808848265
2017-02-27,45,64,2049,12,63.0,92.0,1029.0,9.0,197.0,0.6,0.005436167501911157
2017-02-28,66,81,2852,9,45.0,64.0,2049.0,12.0,197.0,0.6,0.001986139283299642
2017-03-01,89,95,1474,19,66.0,81.0,2852.0,9.0,197.0,0.6,-0.0008450585203024829
2017-03-02,91,130,1638,13,89.0,95.0,1474.0,19.0,197.0,0.6,0.005830781492512332
2017-03-03,90,117,1746,9,91.0,130.0,1638.0,13.0,197.0,0.6,-0.005384872265820639
2017-03-06,25,29,746,1,90.0,117.0,1746.0,9.0,197.0,0.6,0.0010496704034933034
2017-03-07,127,127,1092,20,25.0,29.0,746.0,1.0,197.0,0.6,0.000884210526315823
2017-03-08,68,61,905,6,127.0,127.0,1092.0,20.0,197.0,0.6,-0.0015166835187058207
2017-03-09,55,65,708,7,68.0,61.0,905.0,6.0,197.0,0.6,-0.0032864245386365603
2017-03-10,58,71,814,5,55.0,65.0,708.0,7.0,197.0,0.6,0.0006759611322350022
2017-03-13,53,93,1054,17,58.0,71.0,814.0,5.0,183.0,0.6,-0.001176618901542216
2017-03-14,42,54,1746,6,53.0,93.0,1054.0,17.0,183.0,0.6,0.0007995959936032223
2017-03-15,157,146,1354,21,42.0,54.0,1746.0,6.0,183.0,0.6,-0.0011805379880259765
